OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20220519-2-NAKED	7	20220519_BOTTOM_2_0002_0001.mp4	6498	20220519_TOP_2_0002_0001.mp4	7207	21.80679	253	2.73495	-809.99603	-290.25733	-2115.68051	3.60299	1.68887	9.24710	0.71825	2283.95423	22.26289	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20220519-2-NAKED	8	20220519_BOTTOM_2_0002_0001.mp4	6498	20220519_TOP_2_0002_0001.mp4	7207	21.80679	253	2.73495	-799.36952	-389.91450	-2103.36670	3.53422	2.03274	9.12211	0.03493	2283.67607	23.09072	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20220519-2-NAKED	25	20220519_BOTTOM_2_0002_0001.mp4	46274	20220519_TOP_2_0002_0001.mp4	46983	32.86672	270	1.92136	-808.98795	-2208.06669	-3559.68188	5.85690	15.47077	25.04331	3.42287	4266.30461	33.34144	Serranidae	Cephalopholis	sonnerati	37311045	1	AD	Passing			
20220519-2-NAKED	47	20220519_BOTTOM_2_0003_0001.mp4	13497	20220519_TOP_2_0003_0001.mp4	14206	43.75288	201	0.14403	1369.71007	-2175.43602	-5757.42550	14.88438	24.06238	62.24826	2.75855	6305.28159	24.38523	Unknown	Unknown	Unknown	0	1	AD	Passing			
20220519-2-NAKED	48	20220519_BOTTOM_2_0003_0001.mp4	17972	20220519_TOP_2_0003_0001.mp4	18681	44.99717	201	1.38833	-541.39950	-1032.96556	-1810.72447	2.09817	3.85912	6.52137	0.05244	2153.79999	33.12356	Labridae	Labroides	dimidiatus	37384028	1	AD	Passing			
20220519-2-NAKED	59	20220519_BOTTOM_2_0003_0001.mp4	22975	20220519_TOP_2_0003_0001.mp4	23684	46.38829	201	2.77944	1189.38008	-896.36014	-4018.06527	9.04921	7.20710	30.34890	0.10013	4285.19953	20.56974	Balistidae	Xanthichthys	lineopunctatus	37465016	1	AD	Passing			
20220519-2-NAKED	61	20220519_BOTTOM_2_0004_0001.mp4	45208	20220519_TOP_2_0004_0001.mp4	45917	72.57028	240	1.34885	-862.66733	3736.83474	-6461.93987	11.11640	47.40416	81.72444	0.84134	7514.30607	30.80109	Balistidae	Sufflamen	fraenatum	37465014	1	AD	Passing			
20220521-3-NAKED	0	20220521_BOTTOM_3_0003_0001.mp4	55227	20220521_TOP_3_0003_0001.mp4	55813	55.35613	255	1.58297	1105.63800	-468.25793	-7582.96237	16.55547	7.58374	111.85568	17.02727	7677.43571	8.95338	Unknown	Unknown	Unknown	0	1	AD	Passing			
20220521-3-NAKED	3	20220521_BOTTOM_3_0004_0001.mp4	27417	20220521_TOP_3_0004_0001.mp4	28003	67.62339	216	1.37610	-524.19528	474.82297	-3335.76777	3.80825	3.60416	22.41201	1.74884	3409.92436	12.04862	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20220521-3-NAKED	6	20220521_BOTTOM_3_0004_0001.mp4	29359	20220521_TOP_3_0004_0001.mp4	29945	68.16337	216	1.91608	-745.74901	1052.62030	-2524.31797	4.02020	5.87853	13.63548	10.45245	2834.84255	27.50273	SUS	SUS	SUS	2	1	AD	Passing			
20220521-3-NAKED	9	20220521_BOTTOM_3_0005_0001.mp4	8961	20220521_TOP_3_0005_0001.mp4	9547	82.49158	269	0.59782	459.31161	1793.05817	-3283.92501	3.27108	11.34916	20.54991	16.14456	3769.64033	29.51895	Echeneidae	Echeneis	naucrates	37336001	1	AD	Passing			
20220521-4-NAKED	5	20220521_BOTTOM_4_0002_0001.mp4	15284	20220521_TOP_4_0002_0001.mp4	12576	24.24978	272	1.89439	-508.04911	292.30001	-1069.45213	1.23713	0.89670	2.63566	1.13519	1219.54133	28.99342	SUS	SUS	SUS	2	1	AD	Passing			
