OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210519-2	14	20210519_1108-1552_BOTTOM2_0010_0001.mp4	66299	20210519_1108-1552_TOP2_0011_0001.mp4	16677	189.43480	49	0.21104	-761.22980	177.26239	-2043.39658	3.23366	1.29480	8.52557	3.13033	2187.77567	21.07739	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	17	20210519_1108-1552_BOTTOM2_0011_0001.mp4	59656	20210519_1108-1552_TOP2_0012_0001.mp4	10035	206.58777	31	2.21304	-495.57139	-165.09299	-1447.84898	1.61393	0.89439	4.42823	12.00117	1539.19245	19.95896	Priacanthidae	Priacanthus	spp		1	AD	Passing			
20210520-1	0	20210520_0809-1314_BOTTOM_0002_0001.mp4	31857	20210520_0809-1314_TOP_0002_0001.mp4	24107	27.85811	19	2.25281	-730.99926	-39.96543	-1996.12310	3.05441	0.98251	8.16340	3.56672	2126.13842	20.11645	Priacanthidae	Priacanthus	spp		1	AD	Passing			
20210520-1	1	20210520_0809-1314_BOTTOM_0002_0001.mp4	33221	20210520_0809-1314_TOP_0002_0001.mp4	25471	28.23738	19	2.63207	-1209.60056	-780.68822	-3082.50447	7.57403	5.00041	19.35981	1.16276	3402.12308	24.87857	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210520-1	13	20210520_0809-1314_BOTTOM_0003_0001.mp4	11513	20210520_0809-1314_TOP_0003_0001.mp4	3763	41.20116	22	1.05717	148.36439	-1301.57472	-2668.29151	1.49325	6.83804	14.03495	2.90882	2972.52222	25.86113	Carangidae	Decapterus	muroadsi	37337071	32	AD	Passing			
20210520-1	30	20210520_0809-1314_BOTTOM_0003_0001.mp4	12089	20210520_0809-1314_TOP_0003_0001.mp4	4339	41.36132	22	1.21733	846.63054	1726.91535	-3708.74691	6.01584	12.12113	25.42077	3.58794	4177.77734	27.71680	Clupeidae		spp		50	AD	Passing			
20210520-1	42	20210520_0809-1314_BOTTOM_0004_0001.mp4	30320	20210520_0809-1314_TOP_0004_0001.mp4	22570	65.43064	46	0.67150	-757.35243	604.19690	-2004.25522	3.14934	2.66896	8.14103	0.26710	2226.13468	25.98007	SUS	SUS	SUS	2	1	AD	Passing			
20210520-1	45	20210520_0809-1314_BOTTOM_0006_0001.mp4	16936	20210520_0809-1314_TOP_0006_0001.mp4	9186	99.70905	25	0.97264	-964.10750	-1329.32294	-2616.25008	4.96422	6.70778	13.39014	1.96707	3088.91036	31.62547	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210520-1	46	20210520_0809-1314_BOTTOM_0006_0001.mp4	18447	20210520_0809-1314_TOP_0006_0001.mp4	10697	100.12920	25	1.39278	-530.99905	488.22711	-1568.28516	1.80821	1.75102	5.00263	1.42962	1726.22248	24.89702	Gobiidae		spp		1	AD	Passing			
20210520-1	55	20210520_0809-1314_BOTTOM_0011_0001.mp4	35238	20210520_0809-1314_TOP_0011_0001.mp4	27488	199.79821	4	0.80386	-614.89693	-405.25505	-2503.29514	3.34068	2.50354	12.99888	17.75477	2609.37090	16.60099	SUS	SUS	SUS	2	1	AD	Passing			
20210520-1	56	20210520_0809-1314_BOTTOM_0012_0001.mp4	14670	20210520_0809-1314_TOP_0012_0001.mp4	6920	213.07898	13	0.09732	-712.48834	766.35749	-2020.92111	2.96830	3.29273	8.23813	2.09015	2275.75605	27.62481	SUS	SUS	SUS	2	1	AD	Passing			
20210520-1	58	20210520_0809-1314_BOTTOM_0012_0001.mp4	18945	20210520_0809-1314_TOP_0012_0001.mp4	11195	214.26766	13	1.28601	-569.70789	-146.10807	-1710.67558	2.10903	0.96802	6.03161	1.27611	1808.95705	18.90348	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210520-1	60	20210520_0809-1314_BOTTOM_0015_0001.mp4	46593	20210520_0809-1314_TOP_0015_0001.mp4	38843	278.95534	50	0.61228	-972.79100	609.97759	-2425.47711	4.82178	3.26961	11.93271	0.88281	2683.53017	25.48768	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210520-1	61	20210520_0809-1314_BOTTOM_0015_0001.mp4	46593	20210520_0809-1314_TOP_0015_0001.mp4	38843	278.95534	50	0.61228	-918.74995	-609.74926	-2410.41014	4.52579	3.07280	11.78610	0.98620	2650.65514	24.25164	Priacanthidae	Priacanthus	spp		1	AD	Passing			
20210520-1	62	20210520_0809-1314_BOTTOM_0016_0001.mp4	22155	20210520_0809-1314_TOP_0016_0001.mp4	14405	291.16031	9	0.46352	-683.01854	719.77119	-1838.99102	2.61129	2.82449	6.79298	2.76655	2089.61070	28.56062	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210520-1	65	20210520_0809-1314_BOTTOM_0017_0001.mp4	6571	20210520_0809-1314_TOP_0016_0001.mp4	67153	305.82719	21	0.64286	1366.94142	1093.75159	-4719.71759	12.21720	10.43233	42.05213	1.63830	5033.94035	20.73558	Pomacanthidae	Chaetodontoplus	spp		1	AD	Passing			
20210520-1	66	20210520_0809-1314_BOTTOM_0017_0001.mp4	7133	20210520_0809-1314_TOP_0016_0001.mp4	67715	305.98346	21	0.79913	-440.43989	723.08742	-1453.69997	1.39920	2.20984	4.21314	0.71905	1682.28604	30.50900	Serranidae		spp		1	AD	Passing			
20210520-1	70	20210520_0809-1314_BOTTOM_0017_0001.mp4	9205	20210520_0809-1314_TOP_0017_0001.mp4	1455	306.55959	21	1.37526	-684.76002	427.54372	-1849.70792	2.63307	1.88984	6.92433	0.97460	2018.19456	23.90480	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210520-1	71	20210520_0809-1314_BOTTOM_0017_0001.mp4	11129	20210520_0809-1314_TOP_0017_0001.mp4	3379	307.09457	21	1.91024	587.74460	1572.26898	-4376.04949	5.31895	13.65176	37.12589	3.96399	4686.92678	21.25693	Mullidae				1	AD	Passing			
20210520-1	73	20210520_0809-1314_BOTTOM_0017_0001.mp4	13401	20210520_0809-1314_TOP_0017_0001.mp4	5651	307.72631	21	2.54198	1100.00547	2646.17348	-5274.40155	10.87209	26.42013	51.26811	17.43633	6002.62924	29.07769	SUS	SUS	SUS	2	20	AD	Passing			
20210520-1	74	20210520_0809-1314_BOTTOM_0018_0001.mp4	33894	20210520_0809-1314_TOP_0018_0001.mp4	26144	332.42431	18	0.44016	-299.87469	2428.28722	-4758.21366	3.59749	22.96669	44.41155	4.73907	5350.42997	27.50022	Sparidae	Dentex	carpenteri	37353018	1	AD	Passing			
20210520-1	76	20210520_0809-1314_BOTTOM_0018_0001.mp4	38089	20210520_0809-1314_TOP_0018_0001.mp4	30339	333.59076	18	1.60661	-815.42608	1241.44360	-2283.49337	3.62880	5.59728	10.10960	0.46889	2724.04917	33.32729	Nemipteridae				3	AD	Passing			
