Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Type,Left.cam,Right.cam,Video.notes,Raw.hdd.number,Con.hdd.number,FishNClip,Habitat.forwards.image.saved,Habitat.forwards.annotated,Habitat.backwards.image.saved,Habitat.backwards.annotated,Habitat.notes,Vis.in.metres,Habitat.classification,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Observer.length,Length.complete.date.yyyymmdd,Notes,Date.time
2,-22.7108,113.5386,20210518,14:46,inNP.2,Point Cloates,No-take,104,Charlotte Aston,Yes,Yes,MBH,31,32,,RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,NA,NA,Charlotte Aston,20210618,Molly Gerrans,Molly Gerrans,20230405,,2021-05-18T14:46+08:00
3,-22.7087,113.5263,20210518,14:51,inNP.3,Point Cloates,No-take,129,Charlotte Aston,Yes,Yes,MBH,29,30,,RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,NA,NA,Charlotte Aston,20210614,Molly Gerrans,Molly Gerrans,20230405,unknown labridae,2021-05-18T14:51+08:00
1,-22.696,113.5315,20210518,14:56,inNP.1,Point Cloates,No-take,129,Charlotte Aston/Henry Evans,Yes,Yes,MBH,41,42,,RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,NA,NA,Charlotte Aston/Henry Evans,20230323,Molly Gerrans,Molly Gerrans,20230404,,2021-05-18T14:56+08:00
4,-22.6937,113.5413,20210518,15:00,inNP.4,Point Cloates,No-take,110,Charlotte Aston,Yes,Yes,MBH,27,28,,RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,NA,NA,Charlotte Aston,20210611,Molly Gerrans,Molly Gerrans,20230424,,2021-05-18T15:00+08:00
27,-22.7027,113.556,20210518,15:06,,Point Cloates,No-take,77.8,Gabby Cummins,Yes,Yes,Legacy,43,44,,RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,NA,NA,Gabby Cummins,20211216,Charlotte Aston,Molly Gerrans,20230404,Come back to Rubrio Vs Ravus,2021-05-18T15:06+08:00
8,-22.6884,113.5563,20210518,15:12,inNP.8,Point Cloates,No-take,89.3,Charlotte Aston,Yes,Yes,MBH,33,34,,RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,NA,NA,Charlotte Aston,20210622,Molly Gerrans,Molly Gerrans,20230424,unknown sp2 - very fast,2021-05-18T15:12+08:00
11,-22.6761,113.5387,20210518,15:20,inNP.11,Point Cloates,No-take,139,Charlotte Aston,Yes,Yes,MBH,39,40,,RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,NA,NA,Charlotte Aston,20210706,Molly Gerrans,Molly Gerrans,20230426,,2021-05-18T15:20+08:00
10,-22.6734,113.524,20210518,15:27,inNP.10,Point Cloates,No-take,197,Charlotte Aston,Yes,Yes,MBH,35,36,,RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,NA,NA,Charlotte Aston,20210625,Molly Gerrans,Molly Gerrans,20230426,dentex spp to dentex carpenteri (caab code doesnt have it),2021-05-18T15:27+08:00
5,-22.6837,113.5139,20210519,7:59,inNP.5,Point Cloates,No-take,206,Gabby Cummins,Yes,Yes,MBH,37,38,GPS not loaded,RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,NA,NA,Gabby Cummins,20220117,Claude Spencer,Molly Gerrans,20230503,dentex spp to dentex carpenteri (caab code doesnt have it),2021-05-19T07:59+08:00
9,-22.6962,113.5064,20210519,8:27,inNP.9,Point Cloates,No-take,207,Gabby Cummins,Yes,Yes,MBH,31,32,,RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,NA,NA,Gabby Cummins,20220118,Charlotte Aston,In progress - weird jumping (check with Claude),20230405,BRUV tilting back and forth in current,2021-05-19T08:27+08:00
18,-22.7311,113.4913,20210519,8:40,outNP.6,Point Cloates,Fished,204,Gabby Cummins,Yes,Yes,MBH,29,30,"Ipad missed, use MBH",RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,NA,NA,Gabby Cummins,20220120,Charlotte Aston,Molly Gerrans,20230427,dentex spp to dentex carpenteri (caab code doesnt have it),2021-05-19T08:40+08:00
23,-22.7362,113.4887,20210519,8:42,outNP.11,Point Cloates,Fished,204,Gabby Cummins,Yes,Yes,MBH,41,42,,RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,NA,NA,Gabby Cummins,20220121,Charlotte Aston,Molly Gerrans,20230405,dentex spp to dentex carpenteri (caab code doesnt have it),2021-05-19T08:42+08:00
14,-22.7413,113.4991,20210519,8:48,outNP.2,Point Cloates,Fished,179,Gabby Cummins,Yes,Yes,MBH,27,28,Camera 27 out of charge but charge still registering,RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,NA,NA,Gabby Cummins,20220121,Claude Spencer,Molly Gerrans,20240503,dentex spp to dentex carpenteri (caab code doesnt have it),2021-05-19T08:48+08:00
19,-22.7437,113.484,20210519,8:53,outNP.7,Point Cloates,Fished,206,Gabby Cummins,Yes,,MBH,33,34,,RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,,NA,NA,Gabby Cummins,20220124,Claude Spencer,Molly Gerrans,20230427,dentex spp to dentex carpenteri (caab code doesnt have it),2021-05-19T08:53+08:00
26,-22.7537,113.4763,20210519,8:59,outNP.14,Point Cloates,Fished,209,Gabby Cummins,Yes,Yes,MBH,39,40,,RAW1,NA,Yes,Yes,Gabby Cummins,Yes,Gabby Cummins,"All black, therefore not analysed.",NA,NA,Gabby Cummins,20220125,Charlotte Aston,Molly Gerrans,20230427,dentex spp to dentex carpenteri (caab code doesnt have it),2021-05-19T08:59+08:00
