OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
11	28	1	1277.28105	612.98328	1140.26851	622.34114
11	29	0	1078.73024	669.23746	969.23087	681.41137
11	29	1	1379.85947	636.72910	1295.65496	645.29097
11	30	0	366.68317	869.78218	190.63366	860.66337
11	30	1	889.72277	880.63366	683.28713	885.29703
11	31	0	1616.59222	529.74247	1500.51568	523.73244
11	31	1	1071.54831	620.04348	948.84693	623.66555
12	0	0	621.70181	421.99335	700.47473	432.63193
12	0	1	481.56457	438.75610	571.71616	449.39468
12	1	0	598.87711	694.45676	600.07486	699.24612
12	2	0	1315.57268	498.62084	1246.74672	493.58537
12	2	1	1032.30381	501.01552	952.69807	502.56541
12	3	0	367.71054	560.35477	415.62071	565.14412
12	4	0	735.42545	549.84922	693.07486	551.65188
12	4	1	576.12414	548.65188	542.75671	558.83592
12	5	0	1128.03182	698.32816	890.73862	695.58980
12	5	1	1447.83219	621.09978	1187.18278	620.15743
12	6	0	994.13600	531.61863	843.21896	523.23725
12	7	0	1236.31753	579.19069	838.09981	584.13747
12	7	1	838.66313	621.69623	400.91953	631.43237
12	8	0	735.07486	627.80266	569.53213	631.30155
12	8	1	435.63631	617.62528	273.08796	624.11752
12	9	0	650.82658	607.43237	434.78478	611.60532
12	9	1	314.25764	594.26164	125.76419	606.81596
12	10	0	429.39488	603.13082	273.68684	614.01996
12	10	1	321.59701	573.79601	172.47661	588.27716
12	11	0	1808.00998	105.36585	1854.72240	53.28160
12	11	1	1543.30630	191.57428	1577.44230	162.23947
12	12	0	1285.88272	250.24390	1358.25328	234.67849
12	12	1	1131.37243	287.36142	1193.56207	283.76940
12	13	0	1544.52215	496.86696	1522.34560	488.51441
12	13	1	1162.43855	511.83370	1143.85527	511.26386
12	14	0	1071.00499	720.76275	743.25702	727.96452
12	14	1	741.21148	422.53437	403.69370	444.19512
12	15	0	1310.46039	727.11530	1050.94885	733.79823
12	15	1	1009.82408	393.05765	732.34623	413.50998
12	16	0	1588.63568	884.83370	1136.29382	881.24169
12	16	1	1077.79351	986.00887	595.29258	993.79157
12	17	0	1342.29070	349.30155	920.47411	344.43459
12	17	1	778.14847	301.40798	364.11728	318.09313
12	18	0	285.06550	614.23503	340.16220	616.62971
12	19	0	117.97879	380.70953	147.16407	410.25055
12	19	1	296.44417	356.76275	311.25639	381.51441
12	20	0	512.70493	338.39468	505.98129	353.76940
12	20	1	740.27823	353.96009	717.38490	363.94678
12	21	0	1559.49969	125.12195	1455.91641	89.80044
12	21	1	1298.38927	195.16630	1191.81160	176.60754
12	22	0	1016.98628	396.53215	942.26825	393.31042
12	22	1	780.42982	418.68293	695.53088	429.23060
12	23	0	166.48784	433.43681	233.56207	449.00222
12	24	0	1095.11416	676.96674	872.65003	679.42129
12	24	1	804.65876	680.55876	579.20025	686.60532
