OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0009_0001.mp4	68332	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0010_0001.mp4	68332	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0011_0001.mp4	68331	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0012_0001.mp4	68332	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0013_0001.mp4	68332	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0014_0001.mp4	68331	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0015_0001.mp4	68332	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0016_0001.mp4	68332	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0017_0001.mp4	68331	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0018_0001.mp4	68332	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0019_0001.mp4	8092	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0001_0001.mp4	68332	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0002_0001.mp4	68331	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0003_0001.mp4	68332	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0004_0001.mp4	68332	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0005_0001.mp4	68331	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0006_0001.mp4	68332	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0007_0001.mp4	68332	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0008_0001.mp4	68331	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0009_0001.mp4	68332	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0010_0001.mp4	68332	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0011_0001.mp4	68331	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0012_0001.mp4	68332	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0013_0001.mp4	68332	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0014_0001.mp4	68331	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0015_0001.mp4	68332	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0016_0001.mp4	68332	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0017_0001.mp4	68331	59.94006
20210520-1	1	0	0.00000	0	20210520_0809-1314_TOP_0018_0001.mp4	67775	59.94006
