"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","location","status","depth","successful.count","successful.length"
"2020-10_south-west_BOSS","229","20201108_1136-1340_TOP_0005.avi","2.77555","Labridae","Coris","auricularis",5,"-33.9937","114.7864","20201108",NA,NA,"52.5","Yes",NA
"2020-10_south-west_BOSS","229","20201108_1136-1340_TOP_0005.avi","1.39806","Labridae","Ophthalmolepis","lineolatus",3,"-33.9937","114.7864","20201108",NA,NA,"52.5","Yes",NA
"2020-10_south-west_BOSS","229","20201108_1136-1340_TOP_0005.avi","0.81470","Labridae","Pseudolabrus","biserialis",2,"-33.9937","114.7864","20201108",NA,NA,"52.5","Yes",NA
"2020-10_south-west_BOSS","229","20201108_1136-1340_TOP_0005.avi","0.28973","Labridae","Suezichthys","bifurcatus",1,"-33.9937","114.7864","20201108",NA,NA,"52.5","Yes",NA
"2020-10_south-west_BOSS","229","20201108_1136-1340_TOP_0005.avi","1.96196","Scorpididae","Neatypus","obliquus",1,"-33.9937","114.7864","20201108",NA,NA,"52.5","Yes",NA
"2020-10_south-west_BOSS","229","20201108_1136-1340_TOP_0005.avi","0.00334","Serranidae","Caesioperca","spp",2,"-33.9937","114.7864","20201108",NA,NA,"52.5","Yes",NA
"2020-10_south-west_BOSS","235","20201031_0704-0744_top_0002.avi","0.45657","Cheilodactylidae","Nemadactylus","valenciennesi",1,"-34.0912","114.9364","20201031",NA,NA,"47","Yes",NA
"2020-10_south-west_BOSS","235","20201031_0704-0744_top_0002.avi","2.95629","Enoplosidae","Enoplosus","armatus",2,"-34.0912","114.9364","20201031",NA,NA,"47","Yes",NA
"2020-10_south-west_BOSS","235","20201031_0704-0744_top_0002.avi","0.87977","Labridae","Austrolabrus","maculatus",1,"-34.0912","114.9364","20201031",NA,NA,"47","Yes",NA
"2020-10_south-west_BOSS","235","20201031_0704-0744_top_0002.avi","1.16338","Labridae","Bodianus","frenchii",1,"-34.0912","114.9364","20201031",NA,NA,"47","Yes",NA
"2020-10_south-west_BOSS","235","20201031_0704-0744_top_0002.avi","0.12401","Labridae","Choerodon","rubescens",1,"-34.0912","114.9364","20201031",NA,NA,"47","Yes",NA
"2020-10_south-west_BOSS","235","20201031_0704-0744_top_0002.avi","1.21399","Labridae","Ophthalmolepis","lineolatus",1,"-34.0912","114.9364","20201031",NA,NA,"47","Yes",NA
"2020-10_south-west_BOSS","235","20201031_0704-0744_top_0002.avi","1.65721","Labridae","Pseudolabrus","biserialis",5,"-34.0912","114.9364","20201031",NA,NA,"47","Yes",NA
