"campaignid","sample","dataset","planned.or.exploratory","latitude","longitude","date","time","location","site","depth","observer","successful.count","successful.length","raw.hdd.number","con.hdd.number","method","commonwealth.zone","state.zone","status"
"2020-10_south-west_stereo-BRUVs","FH44","FH","MBH",-33.77118897,114.8638721,"20201017","11:28:00","South-west","C.FH.10",43.3,"Daphne","Yes","Yes","RAW1","BU1","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH45","FH","MBH",-33.69368897,114.7988721,"20201012","10:39:00","South-west","C.FH.4",47.6,"Claude","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH46","FH","MBH",-33.76618897,114.9288721,"20201017","9:28:00","South-west","C.FH.9",44.9,"Daphne","Yes","Yes","RAW1",NA,"BRUV",NA,NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH47","FH","MBH",-33.90618897,114.8488721,"20201013","8:09:00","South-west","C.FH.19",43.5,"Hayley","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH48","FH","MBH",-33.79618897,114.8138721,"20201012","13:23:00","South-west","C.FH.12",48.5,"Claude","Yes","reconvert R videos","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH49","FH","MBH",-33.92118897,114.9163721,"20201029","13:00:00","South-west","C.FH.20",43.9,"Daphne","Yes","Yes","RAW4",NA,"BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH5","FH","MBH",-33.69368897,114.9413721,"20201017","8:46:00","South-west","C.FH.5",44.5,"Daphne","Yes","Yes","RAW1","BU1","BRUV",NA,"Injidup Sanctuary Zone","No-take"
"2020-10_south-west_stereo-BRUVs","FH50","FH","MBH",-33.68118897,114.9313721,"20201017","6:51:00","South-west","C.FH.3",44.6,"Daphne","Yes","Yes","RAW1",NA,"BRUV",NA,"Injidup Sanctuary Zone","No-take"
"2020-10_south-west_stereo-BRUVs","FH51","FH","MBH",-33.90618897,114.8538721,"20201013","8:06:00","South-west","C.FH.19",43,"Hayley","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH52","FH","MBH",-33.99118897,114.8888721,"20201013","12:36:00","South-west","C.FH.24",42.1,"Hayley","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH54","FH","MBH",-33.76618897,114.9388721,"20201017","9:20:00","South-west","C.FH.9",43.2,"Daphne","Yes","No","RAW1","CON1/CON2","BRUV",NA,NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH55","FH","MBH",-33.92368897,114.9088721,"20201029","12:52:00","South-west","C.FH.20",44.9,"Rachel","Yes","Yes","RAW4","CON3","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH56","FH","MBH",-33.83118897,114.8663721,"20201012","15:31:00","South-west","C.FH.14",43.5,"Claude","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH57","FH","MBH",-33.78868897,114.8113721,"20201012","13:12:00","South-west","C.FH.12",45.8,"Claude","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH58","FH","MBH",-33.66368897,114.8413721,"20201012","7:47:00","South-west","C.FH.1",45.1,"Daphne","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH59","FH","MBH",-33.66868897,114.8188721,"20201012","8:32:00","South-west","C.FH.2",44.6,"Claude","Yes","reconvert R videos","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH6","FH","MBH",-33.70618897,114.8213721,"20201012","10:50:00","South-west","C.FH.6",46,"Daphne","Yes","Yes","RAW2","BU1","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH60","FH","MBH",-33.81618897,114.8213721,"20201012","15:14:00","South-west","C.FH.13",44.5,"Claude","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH61","FH","MBH",-33.84118897,114.8638721,"20201012","15:43:00","South-west","C.FH.14",43.9,"Claude","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH62","FH","MBH",-33.75618897,114.8813721,"20201017","11:17:00","South-west","C.FH.8",45.1,"Daphne","Yes","No","RAW1",NA,"BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH63","FH","MBH",-33.67868897,114.8163721,"20201012","8:20:00","South-west","C.FH.2",46.3,"Claude","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH64","FH","MBH",-33.70118897,114.9388721,"20201017","8:56:00","South-west","C.FH.5",44.2,"Daphne","Yes","Yes","RAW1",NA,"BRUV",NA,"Injidup Sanctuary Zone","No-take"
"2020-10_south-west_stereo-BRUVs","FH65","FH","MBH",-33.71368897,114.8188721,"20201012","10:59:00","South-west","C.FH.6",45.7,"Daphne","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH66","FH","MBH",-33.90618897,114.9363721,"20201029","14:40:00","South-west","C.FH.18",41.8,"Daphne","Yes","Yes","RAW4",NA,"BRUV",NA,NA,"Fished"
