"unique_id","scientific","maxn","family","genus","species","campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length","method","length","number"
"2022-05_PtCloates_stereo-BRUVS_45","Acanthuridae Naso fageni",11,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","45",-22.7602,113.5432,20220520,"09:23:19",NA,NA,NA,81.8,"test video","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_45","Acanthuridae Naso fageni",11,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","45",-22.7602,113.5432,20220520,"09:23:19",NA,NA,NA,81.8,"test video","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_45","Acanthuridae Naso fageni",11,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","45",-22.7602,113.5432,20220520,"09:23:19",NA,NA,NA,81.8,"test video","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_45","Acanthuridae Naso fageni",11,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","45",-22.7602,113.5432,20220520,"09:23:19",NA,NA,NA,81.8,"test video","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_47","Acanthuridae Naso fageni",53,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","47",-22.6999,113.5592,20220522,"12:59:50",NA,NA,NA,80.8,"Kaitlin McCloghry","Yes","Yes","BRUV",445.42769,1
"2022-05_PtCloates_stereo-BRUVS_47","Acanthuridae Naso fageni",53,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","47",-22.6999,113.5592,20220522,"12:59:50",NA,NA,NA,80.8,"Kaitlin McCloghry","Yes","Yes","BRUV",484.14802,1
"2022-05_PtCloates_stereo-BRUVS_47","Acanthuridae Naso fageni",53,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","47",-22.6999,113.5592,20220522,"12:59:50",NA,NA,NA,80.8,"Kaitlin McCloghry","Yes","Yes","BRUV",380.71606,1
"2022-05_PtCloates_stereo-BRUVS_47","Acanthuridae Naso fageni",53,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","47",-22.6999,113.5592,20220522,"12:59:50",NA,NA,NA,80.8,"Kaitlin McCloghry","Yes","Yes","BRUV",458.16988,1
"2022-05_PtCloates_stereo-BRUVS_47","Acanthuridae Naso fageni",53,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","47",-22.6999,113.5592,20220522,"12:59:50",NA,NA,NA,80.8,"Kaitlin McCloghry","Yes","Yes","BRUV",426.8845,1
"2022-05_PtCloates_stereo-BRUVS_47","Acanthuridae Naso fageni",53,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","47",-22.6999,113.5592,20220522,"12:59:50",NA,NA,NA,80.8,"Kaitlin McCloghry","Yes","Yes","BRUV",478.37195,1
