GAB,unique_id,scientific,maxn,family,genus,species,campaignid,sample,latitude,longitude,date,time,location,status,site,depth,observer.count,successful.count,successful.length,method
65,2021-05_PtCloates_BRUVS_3,Carangidae Carangoides chrysophrys,3,Carangidae,Carangoides,chrysophrys,2021-05_PtCloates_BRUVS,3,-22.7087,113.5263,20210518,14:51:00,Point Cloates,No-take,inNP.3,129,Charlotte Aston,Yes,Yes,BRUV
73,2022-05_PtCloates_stereo-BRUVS_18,Carangidae Carangoides chrysophrys,3,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,18,-22.7101,113.5492,20220522,10:29:53,NA,NA,NA,91.5,Henry Evans,Yes,Yes,BRUV
77,2022-05_PtCloates_stereo-BRUVS_21,Carangidae Carangoides chrysophrys,3,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,21,-22.6893,113.5652,20220522,14:43:14,NA,NA,NA,77.3,Kaitlin McCloghry,Yes,Yes,BRUV
86,2022-05_PtCloates_stereo-BRUVS_35,Carangidae Carangoides chrysophrys,3,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,35,-22.6987,113.551,20220522,12:46:10,NA,NA,NA,94.6,Kaitlin McCloghry,Yes,Yes,BRUV
63,2021-05_PtCloates_BRUVS_22,Carangidae Carangoides chrysophrys,2,Carangidae,Carangoides,chrysophrys,2021-05_PtCloates_BRUVS,22,-22.7812,113.4964,20210518,12:19:00,Point Cloates,Fished,outNP.10,138,Charlotte Aston,Yes,Yes,BRUV
66,2021-05_PtCloates_BRUVS_4,Carangidae Carangoides chrysophrys,2,Carangidae,Carangoides,chrysophrys,2021-05_PtCloates_BRUVS,4,-22.6937,113.5413,20210518,15:00:00,Point Cloates,No-take,inNP.4,110,Charlotte Aston,Yes,Yes,BRUV
78,2022-05_PtCloates_stereo-BRUVS_23,Carangidae Carangoides chrysophrys,2,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,23,-22.734,113.542,20220520,14:15:28,NA,NA,NA,91.4,Henry Evans,Yes,Yes,BRUV
87,2022-05_PtCloates_stereo-BRUVS_36,Carangidae Carangoides chrysophrys,2,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,36,-22.7318,113.5477,20220520,14:25:23,NA,NA,NA,83.2,Henry Evans,Yes,Yes,BRUV
97,2022-05_PtCloates_stereo-BRUVS_52,Carangidae Carangoides chrysophrys,2,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,52,-22.7635,113.5348,20220520,8:50:37,NA,NA,NA,91,Molly Gerrans,Yes,Yes,BRUV
99,2022-05_PtCloates_stereo-BRUVS_55,Carangidae Carangoides chrysophrys,2,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,55,-22.7564,113.529,20220520,9:48:49,NA,NA,NA,89.1,test video,Yes,Yes,BRUV
103,2022-05_PtCloates_stereo-BRUVS_59,Carangidae Carangoides chrysophrys,2,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,59,-22.7437,113.5452,20220520,12:37:35,NA,NA,NA,83.5,Kaitlin McCloghry,Yes,Yes,BRUV
106,2022-05_PtCloates_stereo-BRUVS_8,Carangidae Carangoides chrysophrys,2,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,8,-22.7298,113.5538,20220522,8:12:35,NA,NA,NA,76.4,Kaitlin McCloghry,Yes,Yes,BRUV
57,2021-05_PtCloates_BRUVS_1,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2021-05_PtCloates_BRUVS,1,-22.696,113.5315,20210518,14:56:00,Point Cloates,No-take,inNP.1,129,Charlotte Aston/Henry Evans,Yes,Yes,BRUV
59,2021-05_PtCloates_BRUVS_13,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2021-05_PtCloates_BRUVS,13,-22.7963,113.5041,20210518,12:08:00,Point Cloates,Fished,outNP.1,116,Charlotte Aston,Yes,Yes,BRUV
61,2021-05_PtCloates_BRUVS_17,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2021-05_PtCloates_BRUVS,17,-22.7757,113.5195,20210518,12:28:00,Point Cloates,Fished,outNP.5,104,Charlotte Aston,Yes,Yes,BRUV
62,2021-05_PtCloates_BRUVS_2,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2021-05_PtCloates_BRUVS,2,-22.7108,113.5386,20210518,14:46:00,Point Cloates,No-take,inNP.2,104,Charlotte Aston,Yes,Yes,BRUV
