"unique_id","scientific","maxn","family","genus","species","campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length","method"
"2022-05_PtCloates_stereo-BRUVS_9","Acanthuridae Naso fageni",6,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","9",-22.6934,113.5571,20220522,"14:27:15",NA,NA,NA,84.9,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_28","Acanthuridae Naso hexacanthus",6,"Acanthuridae","Naso","hexacanthus","2022-05_PtCloates_stereo-BRUVS","28",-22.6987,113.5625,20220522,"13:05:17",NA,NA,NA,76.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_29","Acanthuridae Naso hexacanthus",1,"Acanthuridae","Naso","hexacanthus","2022-05_PtCloates_stereo-BRUVS","29",-22.691,113.5564,20220522,"14:54:59",NA,NA,NA,87.9,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_46","Albulidae Albula argentea",2,"Albulidae","Albula","argentea","2022-05_PtCloates_stereo-BRUVS","46",-22.693,113.5605,20220522,"14:30:54",NA,NA,NA,79.5,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_16","Apogonidae Apogon spp",1,"Apogonidae","Apogon","spp","2021-05_PtCloates_BRUVS","16",-22.7812,113.5115,20210518,"12:24:00","Point Cloates","Fished","outNP.4",111,"Gabby Cummins","Yes","No","BRUV"
"2021-05_PtCloates_BRUVS_1","Apogonidae Unknown spp",1,"Apogonidae","Unknown","spp","2021-05_PtCloates_BRUVS","1",-22.696,113.5315,20210518,"14:56:00","Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_11","Apogonidae Unknown spp",1,"Apogonidae","Unknown","spp","2021-05_PtCloates_BRUVS","11",-22.6761,113.5387,20210518,"15:20:00","Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_8","Balistidae Abalistes filamentosus",1,"Balistidae","Abalistes","filamentosus","2021-05_PtCloates_BRUVS","8",-22.6884,113.5563,20210518,"15:12:00","Point Cloates","No-take","inNP.8",89.3,"Charlotte Aston","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_1","Balistidae Abalistes filamentosus",3,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","1",-22.7221,113.5447,20220522,"10:03:24",NA,NA,NA,93.9,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_16","Balistidae Abalistes filamentosus",1,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","16",-22.7406,113.5395,20220520,"14:06:11",NA,NA,NA,93.2,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_23","Balistidae Abalistes filamentosus",1,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","23",-22.734,113.542,20220520,"14:15:28",NA,NA,NA,91.4,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_24","Balistidae Abalistes filamentosus",1,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","24",-22.7426,113.5507,20220520,"12:42:58",NA,NA,NA,79.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_32","Balistidae Abalistes filamentosus",1,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","32",-22.7239,113.5552,20220522,"08:39:35",NA,NA,NA,78.3,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_4","Balistidae Abalistes filamentosus",2,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","4",-22.7337,113.5555,20220520,"14:40:43",NA,NA,NA,73.9,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_40","Balistidae Abalistes filamentosus",1,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","40",-22.7522,113.5444,20220520,"11:58:07",NA,NA,NA,84.1,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_42","Balistidae Abalistes filamentosus",1,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","42",-22.6952,113.5537,20220522,"12:51:14",NA,NA,NA,92.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_43","Balistidae Abalistes filamentosus",1,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","43",-22.7328,113.5589,20220522,"08:03:30",NA,NA,NA,70.6,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_44","Balistidae Abalistes filamentosus",1,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","44",-22.7482,113.549,20220520,"12:17:32",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_58","Balistidae Abalistes filamentosus",2,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","58",-22.7056,113.5502,20220522,"12:28:44",NA,NA,NA,90.9,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_59","Balistidae Abalistes filamentosus",1,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","59",-22.7437,113.5452,20220520,"12:37:35",NA,NA,NA,83.5,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_62","Balistidae Abalistes filamentosus",1,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","62",-22.7375,113.542,20220520,"14:11:26",NA,NA,NA,90.1,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_7","Balistidae Abalistes filamentosus",1,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","7",-22.7574,113.5382,20220520,"09:36:32",NA,NA,NA,89.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_8","Balistidae Abalistes filamentosus",2,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","8",-22.7298,113.5538,20220522,"08:12:35",NA,NA,NA,76.4,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_9","Balistidae Abalistes filamentosus",1,"Balistidae","Abalistes","filamentosus","2022-05_PtCloates_stereo-BRUVS","9",-22.6934,113.5571,20220522,"14:27:15",NA,NA,NA,84.9,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_12","Balistidae Abalistes stellatus",1,"Balistidae","Abalistes","stellatus","2022-05_PtCloates_stereo-BRUVS","12",-22.7505,113.5476,20220520,"12:11:27",NA,NA,NA,80.5,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_6","Balistidae Abalistes stellatus",2,"Balistidae","Abalistes","stellatus","2022-05_PtCloates_stereo-BRUVS","6",-22.7459,113.5531,20220520,"12:30:12",NA,NA,NA,74.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_64","Balistidae Pseudobalistes flavimarginatus",1,"Balistidae","Pseudobalistes","flavimarginatus","2022-05_PtCloates_stereo-BRUVS","64",-22.7343,113.5508,20220520,"14:30:16",NA,NA,NA,79.2,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_2","Balistidae Pseudobalistes fuscus",1,"Balistidae","Pseudobalistes","fuscus","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_43","Balistidae Pseudobalistes fuscus",1,"Balistidae","Pseudobalistes","fuscus","2022-05_PtCloates_stereo-BRUVS","43",-22.7328,113.5589,20220522,"08:03:30",NA,NA,NA,70.6,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_2","Balistidae Sufflamen fraenatum",1,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_22","Balistidae Sufflamen fraenatum",2,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_stereo-BRUVS","22",-22.7072,113.5554,20220522,"10:42:04",NA,NA,NA,81.3,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_27","Balistidae Sufflamen fraenatum",1,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_stereo-BRUVS","27",-22.7254,113.5459,20220522,"08:31:16",NA,NA,NA,90.4,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_28","Balistidae Sufflamen fraenatum",1,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_stereo-BRUVS","28",-22.6987,113.5625,20220522,"13:05:17",NA,NA,NA,76.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_30","Balistidae Sufflamen fraenatum",2,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_stereo-BRUVS","30",-22.7058,113.5588,20220522,"10:47:54",NA,NA,NA,78.5,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_31","Balistidae Sufflamen fraenatum",1,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_stereo-BRUVS","31",-22.7542,113.5424,20220520,"10:27:48",NA,NA,NA,82.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_32","Balistidae Sufflamen fraenatum",1,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_stereo-BRUVS","32",-22.7239,113.5552,20220522,"08:39:35",NA,NA,NA,78.3,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_39","Balistidae Sufflamen fraenatum",2,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_stereo-BRUVS","39",-22.7105,113.5539,20220522,"10:35:24",NA,NA,NA,78.9,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_40","Balistidae Sufflamen fraenatum",1,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_stereo-BRUVS","40",-22.7522,113.5444,20220520,"11:58:07",NA,NA,NA,84.1,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_44","Balistidae Sufflamen fraenatum",1,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_stereo-BRUVS","44",-22.7482,113.549,20220520,"12:17:32",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_45","Balistidae Sufflamen fraenatum",2,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_stereo-BRUVS","45",-22.7602,113.5432,20220520,"09:23:19",NA,NA,NA,81.8,"test video","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_59","Balistidae Sufflamen fraenatum",1,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_stereo-BRUVS","59",-22.7437,113.5452,20220520,"12:37:35",NA,NA,NA,83.5,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_6","Balistidae Sufflamen fraenatum",1,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_stereo-BRUVS","6",-22.7459,113.5531,20220520,"12:30:12",NA,NA,NA,74.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_64","Balistidae Sufflamen fraenatum",1,"Balistidae","Sufflamen","fraenatum","2022-05_PtCloates_stereo-BRUVS","64",-22.7343,113.5508,20220520,"14:30:16",NA,NA,NA,79.2,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_30","Balistidae Xanthichthys lineopunctatus",1,"Balistidae","Xanthichthys","lineopunctatus","2022-05_PtCloates_stereo-BRUVS","30",-22.7058,113.5588,20220522,"10:47:54",NA,NA,NA,78.5,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_45","Balistidae Xanthichthys lineopunctatus",2,"Balistidae","Xanthichthys","lineopunctatus","2022-05_PtCloates_stereo-BRUVS","45",-22.7602,113.5432,20220520,"09:23:19",NA,NA,NA,81.8,"test video","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_8","Carangidae Carangoides caeruleopinnatus",1,"Carangidae","Carangoides","caeruleopinnatus","2021-05_PtCloates_BRUVS","8",-22.6884,113.5563,20210518,"15:12:00","Point Cloates","No-take","inNP.8",89.3,"Charlotte Aston","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_1","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2021-05_PtCloates_BRUVS","1",-22.696,113.5315,20210518,"14:56:00","Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_12","Carangidae Carangoides chrysophrys",4,"Carangidae","Carangoides","chrysophrys","2021-05_PtCloates_BRUVS","12",-22.7262,113.5214,20210518,"12:48:00","Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_13","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2021-05_PtCloates_BRUVS","13",-22.7963,113.5041,20210518,"12:08:00","Point Cloates","Fished","outNP.1",116,"Charlotte Aston","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_15","Carangidae Carangoides chrysophrys",4,"Carangidae","Carangoides","chrysophrys","2021-05_PtCloates_BRUVS","15",-22.7461,113.5138,20210518,"12:40:00","Point Cloates","Fished","outNP.3",130,"Charlotte Aston","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_17","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2021-05_PtCloates_BRUVS","17",-22.7757,113.5195,20210518,"12:28:00","Point Cloates","Fished","outNP.5",104,"Charlotte Aston","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_2","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2021-05_PtCloates_BRUVS","2",-22.7108,113.5386,20210518,"14:46:00","Point Cloates","No-take","inNP.2",104,"Charlotte Aston","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_22","Carangidae Carangoides chrysophrys",2,"Carangidae","Carangoides","chrysophrys","2021-05_PtCloates_BRUVS","22",-22.7812,113.4964,20210518,"12:19:00","Point Cloates","Fished","outNP.10",138,"Charlotte Aston","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_25","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2021-05_PtCloates_BRUVS","25",-22.7937,113.4939,20210518,"12:11:00","Point Cloates","Fished","outNP.13",135,"Charlotte Aston","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_3","Carangidae Carangoides chrysophrys",3,"Carangidae","Carangoides","chrysophrys","2021-05_PtCloates_BRUVS","3",-22.7087,113.5263,20210518,"14:51:00","Point Cloates","No-take","inNP.3",129,"Charlotte Aston","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_4","Carangidae Carangoides chrysophrys",2,"Carangidae","Carangoides","chrysophrys","2021-05_PtCloates_BRUVS","4",-22.6937,113.5413,20210518,"15:00:00","Point Cloates","No-take","inNP.4",110,"Charlotte Aston","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_6","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2021-05_PtCloates_BRUVS","6",-22.721,113.5465,20210518,"14:41:00","Point Cloates","No-take","inNP.6",88.5,"Charlotte Aston","Yes","Yes","BRUV"
"2021-05_PtCloates_BRUVS_7","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2021-05_PtCloates_BRUVS","7",-22.7287,113.5365,20210518,"12:57:00","Point Cloates","No-take","inNP.7",100,"Charlotte Aston","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_13","Carangidae Carangoides chrysophrys",6,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","13",-22.6872,113.5606,20220526,"08:42:37",NA,NA,NA,82.1,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_14","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","14",-22.6876,113.5568,20220526,"08:48:10",NA,NA,NA,90.5,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_15","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","15",-22.6977,113.5561,20220522,"12:55:29",NA,NA,NA,83.9,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_16","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","16",-22.7406,113.5395,20220520,"14:06:11",NA,NA,NA,93.2,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_18","Carangidae Carangoides chrysophrys",3,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","18",-22.7101,113.5492,20220522,"10:29:53",NA,NA,NA,91.5,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_19","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","19",-22.6847,113.5669,20220526,"08:33:41",NA,NA,NA,76.4,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_2","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_20","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","20",-22.7212,113.5561,20220522,"08:44:53",NA,NA,NA,76,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_21","Carangidae Carangoides chrysophrys",3,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","21",-22.6893,113.5652,20220522,"14:43:14",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_23","Carangidae Carangoides chrysophrys",2,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","23",-22.734,113.542,20220520,"14:15:28",NA,NA,NA,91.4,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_24","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","24",-22.7426,113.5507,20220520,"12:42:58",NA,NA,NA,79.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_26","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","26",-22.7615,113.5484,20220520,"09:08:31",NA,NA,NA,77.2,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_28","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","28",-22.6987,113.5625,20220522,"13:05:17",NA,NA,NA,76.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_30","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","30",-22.7058,113.5588,20220522,"10:47:54",NA,NA,NA,78.5,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_31","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","31",-22.7542,113.5424,20220520,"10:27:48",NA,NA,NA,82.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_32","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","32",-22.7239,113.5552,20220522,"08:39:35",NA,NA,NA,78.3,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_34","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","34",-22.6928,113.5645,20220522,"14:38:27",NA,NA,NA,76.4,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_35","Carangidae Carangoides chrysophrys",3,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","35",-22.6987,113.551,20220522,"12:46:10",NA,NA,NA,94.6,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_36","Carangidae Carangoides chrysophrys",2,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","36",-22.7318,113.5477,20220520,"14:25:23",NA,NA,NA,83.2,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_37","Carangidae Carangoides chrysophrys",5,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","37",-22.7475,113.5445,20220520,"12:23:05",NA,NA,NA,81.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_39","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","39",-22.7105,113.5539,20220522,"10:35:24",NA,NA,NA,78.9,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_40","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","40",-22.7522,113.5444,20220520,"11:58:07",NA,NA,NA,84.1,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_42","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","42",-22.6952,113.5537,20220522,"12:51:14",NA,NA,NA,92.3,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_43","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","43",-22.7328,113.5589,20220522,"08:03:30",NA,NA,NA,70.6,"Henry Evans","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_45","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","45",-22.7602,113.5432,20220520,"09:23:19",NA,NA,NA,81.8,"test video","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_47","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","47",-22.6999,113.5592,20220522,"12:59:50",NA,NA,NA,80.8,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_5","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","5",-22.7218,113.5506,20220522,"08:50:54",NA,NA,NA,81.9,"Kaitlin McCloghry","Yes","Yes","BRUV"
"2022-05_PtCloates_stereo-BRUVS_50","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys","2022-05_PtCloates_stereo-BRUVS","50",-22.7173,113.5528,20220522,"10:14:30",NA,NA,NA,81.9,"Kaitlin McCloghry","Yes","Yes","BRUV"
