"family","genus","species","n","totalfish"
"Lethrinidae","Gymnocranius","grandoculis",4,9
"Lethrinidae","Gymnocranius","sp1",67,182
"Lethrinidae","Lethrinus","miniatus",58,192
"Lethrinidae","Lethrinus","nebulosus",16,20
"Lethrinidae","Lethrinus","olivaceus",1,1
"Lethrinidae","Lethrinus","ravus",17,46
"Lethrinidae","Lethrinus","rubrioperculatus",59,165
"Lethrinidae","Lethrinus","spp",2,2
"Lutjanidae","Aphareus","rutilans",11,13
"Lutjanidae","Aprion","virescens",1,1
"Lutjanidae","Lutjanus","lemniscatus",1,1
"Lutjanidae","Lutjanus","sebae",35,62
"Lutjanidae","Pristipomoides","filamentosus",3,32
"Lutjanidae","Pristipomoides","multidens",5,16
"Lutjanidae","Pristipomoides","sp1",48,220
"Lutjanidae","Pristipomoides","spp",1,2
"Lutjanidae","Pristipomoides","typus",1,1
"Malacanthidae","Malacanthus","brevirostris",7,14
"Malacanthidae","Malacanthus","latovittatus",2,3
"Microdesmidae","Ptereleotris","spp",1,1
"Monacanthidae","Aluterus","monoceros",1,1
"Monacanthidae","Unknown","spp",1,1
"Mullidae","Mulloidichthys","flavolineatus",2,11
"Mullidae","Parupeneus","chrysopleuron",1,1
"Mullidae","Parupeneus","cyclostomus",1,2
"Mullidae","Parupeneus","heptacanthus",8,34
"Mullidae","Parupeneus","spilurus",1,1
"Mullidae","Unknown","spp",5,22
"Mullidae","Upeneus","moluccensis",2,13
"Muraenidae","Gymnothorax","berndti",1,1
"Muraenidae","Gymnothorax","javanicus",2,2
"Muraenidae","Gymnothorax","pseudothyrsoideus",1,1
"Muraenidae","Gymnothorax","sp1",1,1
"Nemipteridae","Nemipterus","spp",4,4
"Nemipteridae","Nemipterus","virgatus",1,1
"Nemipteridae","Parascolopsis","eriomma",2,10
"Nemipteridae","Parascolopsis","inermis",1,1
"Nemipteridae","Pentapodus","nagasakiensis",30,129
"Nemipteridae","Pentapodus","spp",2,2
"Nemipteridae","Pentapodus","vitta",2,3
"Nemipteridae","Unknown","spp",1,1
"Pinguipedidae","Parapercis","clathrata",1,1
"Pinguipedidae","Parapercis","nebulosa",46,100
"Pinguipedidae","Parapercis","spp",2,4
"Pomacanthidae","Apolemichthys","trimaculatus",2,3
"Pomacanthidae","Chaetodontoplus","personifer",2,3
"Pomacanthidae","Pomacanthus","imperator",1,1
"Pomacanthidae","Pomacanthus","semicirculatus",6,8
"Pteroidae","Pterois","antennata",1,1
"Rhinobatidae","Rhinobatos","sainsburyi",1,1
"Rhynchobatidae","Rhynchobatus","laevis",2,2
"SUS","SUS","sus",36,308
"Scaridae","Scarus","ghobban",2,2
"Scaridae","Scarus","sp3",6,10
"Scombridae","Scomberomorus","commerson",1,1
"Scombridae","Scomberomorus","spp",11,13
"Serranidae","Epinephelus","amblycephalus",1,1
"Serranidae","Epinephelus","areolatus",9,13
"Serranidae","Epinephelus","coioides",2,2
"Serranidae","Epinephelus","morrhua",1,1
"Serranidae","Epinephelus","multinotatus",5,5
"Serranidae","Epinephelus","rivulatus",5,5
"Serranidae","Epinephelus","spp",2,2
"Serranidae","Epinephelus","tukula",2,2
"Serranidae","Plectropomus","spp",3,5
"Serranidae","Pseudanthias","georgei",1,14
"Serranidae","Pseudanthias","spp",1,1
"Serranidae","Variola","louti",5,7
"Sparidae","Argyrops","spinifer",23,46
"Sparidae","Chrysophrys","auratus",2,4
"Sparidae","Dentex","spp",7,387
"Sphyraenidae","Sphyraena","forsteri",1,1
"Sphyraenidae","Sphyraena","jello",1,1
"Sphyraenidae","Sphyraena","qenie",1,4
"Sphyraenidae","Sphyraena","spp",3,3
"Sphyrnidae","Sphyrna","mokarran",1,1
"Stegostomatidae","Stegostoma","fasciatum",1,1
"Synodontidae","Saurida","undosquamis",2,2
"Tetraodontidae","Arothron","stellatus",3,3
"Tetraodontidae","Lagocephalus","lunaris",3,3
"Tetraodontidae","Lagocephalus","sceleratus",3,3
"Triakidae","Hemitriakis","falcata",3,4
"Triakidae","Mustelus","ravidus",4,4
"Triakidae","Mustelus","stevensi",1,1
