"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Carangidae","Decapterus","spp",282.72674,3477.17268,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Carangidae","Decapterus","spp",297.27687,4058.849,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Carangidae","Decapterus","spp",241.04746,4877.43168,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Carangidae","Decapterus","spp",228.17542,4739.18005,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Lethrinidae","Gymnocranius","grandoculis",360.7498,3372.10813,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Lethrinidae","Lethrinus","miniatus",376.88324,1419.55632,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Lutjanidae","Pristipomoides","sp1",355.40568,2898.91655,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Lutjanidae","Pristipomoides","sp1",475.48892,4600.03601,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Lutjanidae","Pristipomoides","sp1",352.04994,1963.10496,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Lutjanidae","Pristipomoides","sp1",492.83844,2101.53505,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Lutjanidae","Pristipomoides","sp1",514.22361,2334.36768,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Muraenidae","Gymnothorax","javanicus",588.40768,1831.18585,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Triakidae","Hemitriakis","falcata",782.82022,2137.80303,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Carangidae","Carangoides","chrysophrys",307.2125,3329.73987,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Carangidae","Carangoides","chrysophrys",467.91219,3205.48087,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Carangidae","Carangoides","chrysophrys",385.37744,2356.13766,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Carangidae","Carangoides","chrysophrys",430.2053,2522.36099,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Carangidae","Seriola","sp1",527.89604,3692.59898,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Carangidae","Seriola","sp1",543.95756,4997.49064,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Echeneidae","Echeneis","naucrates",122.96202,1993.97353,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Lethrinidae","Gymnocranius","sp1",334.33315,1672.11773,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Lethrinidae","Gymnocranius","sp1",228.4799,1659.93626,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Lethrinidae","Gymnocranius","sp1",257.45382,2010.15561,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Lethrinidae","Gymnocranius","sp1",339.22873,1693.84215,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Lethrinidae","Lethrinus","miniatus",403.26972,1335.73481,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Lethrinidae","Lethrinus","miniatus",395.46654,1091.78366,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Lethrinidae","Lethrinus","miniatus",446.7967,1156.75792,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Lutjanidae","Lutjanus","sebae",470.97851,1507.02881,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1",497.37536,2529.50292,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1",298.18065,2898.13311,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1",351.86547,1573.53821,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1",338.44702,1148.45793,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1",358.66321,1935.53884,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1",354.19525,1769.172,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Serranidae","Epinephelus","multinotatus",774.00454,3012.26933,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.12","2021-05_PtCloates_BRUVS",12,"Sphyraenidae","Sphyraena","spp",496.00244,5464.28614,-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.13","2021-05_PtCloates_BRUVS",13,"Echeneidae","Echeneis","naucrates",135.28891,2150.5221,-22.7963,113.5041,20210518,12:08:00,"Point Cloates","Fished","outNP.1",116,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.13","2021-05_PtCloates_BRUVS",13,"Labridae","Bodianus","solatus",312.80875,4691.47439,-22.7963,113.5041,20210518,12:08:00,"Point Cloates","Fished","outNP.1",116,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.13","2021-05_PtCloates_BRUVS",13,"Lethrinidae","Lethrinus","miniatus",530.32791,2496.14846,-22.7963,113.5041,20210518,12:08:00,"Point Cloates","Fished","outNP.1",116,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.13","2021-05_PtCloates_BRUVS",13,"Lethrinidae","Lethrinus","miniatus",583.47102,2769.55781,-22.7963,113.5041,20210518,12:08:00,"Point Cloates","Fished","outNP.1",116,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.13","2021-05_PtCloates_BRUVS",13,"Lethrinidae","Lethrinus","miniatus",497.74367,1374.74971,-22.7963,113.5041,20210518,12:08:00,"Point Cloates","Fished","outNP.1",116,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.13","2021-05_PtCloates_BRUVS",13,"Lutjanidae","Pristipomoides","sp1",662.92263,3962.42832,-22.7963,113.5041,20210518,12:08:00,"Point Cloates","Fished","outNP.1",116,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.13","2021-05_PtCloates_BRUVS",13,"Lutjanidae","Pristipomoides","sp1",568.64243,1997.43035,-22.7963,113.5041,20210518,12:08:00,"Point Cloates","Fished","outNP.1",116,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.13","2021-05_PtCloates_BRUVS",13,"Serranidae","Epinephelus","rivulatus",344.21375,2457.0757,-22.7963,113.5041,20210518,12:08:00,"Point Cloates","Fished","outNP.1",116,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.14","2021-05_PtCloates_BRUVS",14,"Carangidae","Seriola","dumerili",1140.61673,2807.14144,-22.7413,113.4991,20210519,08:48:00,"Point Cloates","Fished","outNP.2",179,"Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS.14","2021-05_PtCloates_BRUVS",14,"Carangidae","Seriola","dumerili",1000.56357,3076.20465,-22.7413,113.4991,20210519,08:48:00,"Point Cloates","Fished","outNP.2",179,"Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS.14","2021-05_PtCloates_BRUVS",14,"Carangidae","Seriola","dumerili",1234.94641,2896.77645,-22.7413,113.4991,20210519,08:48:00,"Point Cloates","Fished","outNP.2",179,"Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS.14","2021-05_PtCloates_BRUVS",14,"Carangidae","Seriola","dumerili",1154.7423,4353.80829,-22.7413,113.4991,20210519,08:48:00,"Point Cloates","Fished","outNP.2",179,"Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS.14","2021-05_PtCloates_BRUVS",14,"Lethrinidae","Gymnocranius","sp1",381.87165,1256.88402,-22.7413,113.4991,20210519,08:48:00,"Point Cloates","Fished","outNP.2",179,"Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS.14","2021-05_PtCloates_BRUVS",14,"Lutjanidae","Pristipomoides","sp1",455.06907,4274.05329,-22.7413,113.4991,20210519,08:48:00,"Point Cloates","Fished","outNP.2",179,"Gabby Cummins","Yes","Yes"
