"unique_id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lethrinidae","Gymnocranius","euanus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lethrinidae","Gymnocranius","sp1",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lethrinidae","Lethrinus","miniatus",444.59001,1,1311.4395,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lethrinidae","Lethrinus","miniatus",454.00785,1,1539.81489,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lethrinidae","Lethrinus","miniatus",NA,1,3001.65678,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lethrinidae","Lethrinus","nebulosus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lethrinidae","Lethrinus","olivaceus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lethrinidae","Lethrinus","ravus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lethrinidae","Lethrinus","rubrioperculatus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lethrinidae","Lethrinus","spp",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lutjanidae","Aphareus","rutilans",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lutjanidae","Aprion","virescens",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lutjanidae","Lutjanus","lemniscatus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lutjanidae","Lutjanus","sebae",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lutjanidae","Pristipomoides","multidens",586.3141,1,3038.63092,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lutjanidae","Pristipomoides","sp1",571.24746,1,2563.70609,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lutjanidae","Pristipomoides","sp1",491.57232,1,2946.71523,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lutjanidae","Pristipomoides","sp1",472.30354,1,3136.4451,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lutjanidae","Pristipomoides","sp1",542.92586,1,2291.69682,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lutjanidae","Pristipomoides","sp1",486.80801,1,3863.01997,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lutjanidae","Pristipomoides","sp1",491.33748,1,2654.42258,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lutjanidae","Pristipomoides","sp1",NA,1,6635.785,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lutjanidae","Pristipomoides","sp1",NA,1,2805.23747,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Lutjanidae","Pristipomoides","spp",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Malacanthidae","Malacanthus","brevirostris",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Malacanthidae","Malacanthus","latovittatus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Microdesmidae","Ptereleotris","spp",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Monacanthidae","Aluterus","monoceros",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Monacanthidae","Unknown","na",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Mullidae","Mulloidichthys","flavolineatus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Mullidae","Parupeneus","chrysopleuron",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Mullidae","Parupeneus","cyclostomus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Mullidae","Parupeneus","heptacanthus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Mullidae","Parupeneus","spilurus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Mullidae","Unknown","na",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Mullidae","Unknown","spp",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Mullidae","Upeneus","moluccensis",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
