"campaignid","sample","family","genus","species","maxn"
"2022-05_PtCloates_Naked-BOSS",207,"Lethrinidae","Gymnocranius","sp1",5
"2022-05_PtCloates_Naked-BOSS",208,"Lethrinidae","Gymnocranius","sp1",1
"2022-05_PtCloates_Naked-BOSS",208,"Lethrinidae","Lethrinus","miniatus",1
"2022-05_PtCloates_Naked-BOSS",208,"Lethrinidae","Lethrinus","rubrioperculatus",1
"2022-05_PtCloates_Naked-BOSS",208,"Lutjanidae","Lutjanus","sebae",2
"2022-05_PtCloates_Naked-BOSS",210,"SUS","SUS","sus",1
"2022-05_PtCloates_Naked-BOSS",210,"Unknown","Unknown","unknown",1
"2022-05_PtCloates_Naked-BOSS",211,"Carangidae","Unknown","spp",1
"2022-05_PtCloates_Naked-BOSS",211,"Carcharhinidae","Carcharhinus","albimarginatus",1
"2022-05_PtCloates_Naked-BOSS",211,"Serranidae","Epinephelus","areolatus",1
