"campaignid","sample","family","genus","species","maxn"
"2021-05_PtCloates_BRUVS",16,"Apogonidae","Apogon","spp",1
"2021-05_PtCloates_BRUVS",16,"Labridae","Bodianus","solatus",1
"2021-05_PtCloates_BRUVS",16,"Labridae","Choerodon","zamboangae",1
"2021-05_PtCloates_BRUVS",16,"Lethrinidae","Gymnocranius","sp1",3
"2021-05_PtCloates_BRUVS",16,"Lethrinidae","Lethrinus","miniatus",5
"2021-05_PtCloates_BRUVS",16,"Lutjanidae","Pristipomoides","sp1",2
"2021-05_PtCloates_BRUVS",16,"Nemipteridae","Pentapodus","spp",1
"2021-05_PtCloates_BRUVS",16,"Pinguipedidae","Parapercis","nebulosa",2
"2021-05_PtCloates_BRUVS",16,"Serranidae","Epinephelus","rivulatus",1
"2021-05_PtCloates_BRUVS",16,"Serranidae","Pseudanthias","spp",1
"2021-05_PtCloates_BRUVS",16,"SUS","SUS","sus",1
"2021-05_PtCloates_BRUVS",17,"Carangidae","Carangoides","chrysophrys",1
"2021-05_PtCloates_BRUVS",17,"Carangidae","Decapterus","spp",13
"2021-05_PtCloates_BRUVS",17,"Cirrhitidae","Cyprinocirrhites","polyactis",2
"2021-05_PtCloates_BRUVS",17,"Labridae","Bodianus","izuensis",2
"2021-05_PtCloates_BRUVS",17,"Labridae","Bodianus","solatus",1
"2021-05_PtCloates_BRUVS",17,"Labridae","Choerodon","zamboangae",2
"2021-05_PtCloates_BRUVS",17,"Lethrinidae","Gymnocranius","sp1",2
"2021-05_PtCloates_BRUVS",17,"Lethrinidae","Lethrinus","miniatus",3
"2021-05_PtCloates_BRUVS",17,"Lutjanidae","Pristipomoides","sp1",4
"2021-05_PtCloates_BRUVS",17,"Nemipteridae","Pentapodus","nagasakiensis",1
"2021-05_PtCloates_BRUVS",17,"Nemipteridae","Pentapodus","spp",1
"2021-05_PtCloates_BRUVS",17,"Pinguipedidae","Parapercis","nebulosa",2
"2021-05_PtCloates_BRUVS",17,"Serranidae","Epinephelus","areolatus",1
"2021-05_PtCloates_BRUVS",18,"Carcharhinidae","Carcharhinus","plumbeus",1
"2021-05_PtCloates_BRUVS",18,"Sparidae","Dentex","spp",30
"2021-05_PtCloates_BRUVS",18,"Tetraodontidae","Lagocephalus","lunaris",1
"2021-05_PtCloates_BRUVS",19,"Carangidae","Carangoides","equula",1
"2021-05_PtCloates_BRUVS",19,"Carcharhinidae","Carcharhinus","plumbeus",1
"2021-05_PtCloates_BRUVS",19,"Sparidae","Dentex","spp",57
"2021-05_PtCloates_BRUVS",2,"Carangidae","Carangoides","chrysophrys",1
"2021-05_PtCloates_BRUVS",2,"Carcharhinidae","Unknown","spp",1
"2021-05_PtCloates_BRUVS",2,"Labridae","Bodianus","solatus",2
"2021-05_PtCloates_BRUVS",2,"Lethrinidae","Gymnocranius","sp1",3
"2021-05_PtCloates_BRUVS",2,"Lethrinidae","Lethrinus","miniatus",7
"2021-05_PtCloates_BRUVS",2,"Lutjanidae","Lutjanus","sebae",1
"2021-05_PtCloates_BRUVS",2,"Lutjanidae","Pristipomoides","sp1",17
"2021-05_PtCloates_BRUVS",2,"Mullidae","Parupeneus","chrysopleuron",1
"2021-05_PtCloates_BRUVS",2,"Pinguipedidae","Parapercis","nebulosa",1
"2021-05_PtCloates_BRUVS",2,"Serranidae","Epinephelus","areolatus",2
"2021-05_PtCloates_BRUVS",2,"Serranidae","Epinephelus","rivulatus",1
"2021-05_PtCloates_BRUVS",2,"Sphyraenidae","Sphyraena","spp",1
"2021-05_PtCloates_BRUVS",21,"Labridae","Choerodon","zamboangae",1
"2021-05_PtCloates_BRUVS",21,"Lethrinidae","Gymnocranius","sp1",2
"2021-05_PtCloates_BRUVS",21,"Lethrinidae","Lethrinus","miniatus",7
"2021-05_PtCloates_BRUVS",21,"Lutjanidae","Pristipomoides","sp1",1
"2021-05_PtCloates_BRUVS",21,"Nemipteridae","Parascolopsis","inermis",1
"2021-05_PtCloates_BRUVS",21,"Pinguipedidae","Parapercis","nebulosa",5
"2021-05_PtCloates_BRUVS",21,"Serranidae","Epinephelus","rivulatus",1
"2021-05_PtCloates_BRUVS",21,"SUS","SUS","sus",1
"2021-05_PtCloates_BRUVS",22,"Carangidae","Carangoides","chrysophrys",2
"2021-05_PtCloates_BRUVS",22,"Carangidae","Decapterus","spp",8
"2021-05_PtCloates_BRUVS",22,"Dasyatidae","Taeniurops","meyeni",1
"2021-05_PtCloates_BRUVS",22,"Labridae","Bodianus","solatus",1
"2021-05_PtCloates_BRUVS",22,"Lethrinidae","Gymnocranius","sp1",3
"2021-05_PtCloates_BRUVS",22,"Lethrinidae","Lethrinus","miniatus",3
"2021-05_PtCloates_BRUVS",22,"Lutjanidae","Pristipomoides","multidens",1
"2021-05_PtCloates_BRUVS",22,"Lutjanidae","Pristipomoides","sp1",5
"2021-05_PtCloates_BRUVS",22,"Muraenidae","Gymnothorax","sp1",1
"2021-05_PtCloates_BRUVS",22,"Nemipteridae","Parascolopsis","eriomma",4
"2021-05_PtCloates_BRUVS",22,"SUS","SUS","sus",1
"2021-05_PtCloates_BRUVS",23,"Carangidae","Carangoides","equula",1
"2021-05_PtCloates_BRUVS",23,"Carcharhinidae","Carcharhinus","plumbeus",1
"2021-05_PtCloates_BRUVS",23,"Sparidae","Chrysophrys","auratus",1
"2021-05_PtCloates_BRUVS",23,"Sparidae","Dentex","spp",69
"2021-05_PtCloates_BRUVS",23,"Synodontidae","Saurida","undosquamis",1
"2021-05_PtCloates_BRUVS",25,"Carangidae","Carangoides","chrysophrys",1
"2021-05_PtCloates_BRUVS",25,"Carcharhinidae","Carcharhinus","plumbeus",1
"2021-05_PtCloates_BRUVS",25,"Labridae","Bodianus","solatus",2
"2021-05_PtCloates_BRUVS",25,"Lethrinidae","Gymnocranius","sp1",3
"2021-05_PtCloates_BRUVS",25,"Lethrinidae","Lethrinus","miniatus",1
"2021-05_PtCloates_BRUVS",25,"Lutjanidae","Pristipomoides","sp1",4
"2021-05_PtCloates_BRUVS",25,"SUS","SUS","sus",4
"2021-05_PtCloates_BRUVS",26,"Carcharhinidae","Carcharhinus","plumbeus",1
"2021-05_PtCloates_BRUVS",26,"Sparidae","Dentex","spp",49
"2021-05_PtCloates_BRUVS",26,"Synodontidae","Saurida","undosquamis",1
"2021-05_PtCloates_BRUVS",26,"Unknown","Unknown","unknown",1
"2021-05_PtCloates_BRUVS",27,"Carangidae","Decapterus","spp",1
"2021-05_PtCloates_BRUVS",27,"Labridae","Oxycheilinus","orientalis",1
"2021-05_PtCloates_BRUVS",27,"Labridae","Suezichthys","cyanolaemus",1
"2021-05_PtCloates_BRUVS",27,"Lethrinidae","Gymnocranius","sp1",1
"2021-05_PtCloates_BRUVS",27,"Lethrinidae","Lethrinus","ravus",1
"2021-05_PtCloates_BRUVS",27,"Lethrinidae","Lethrinus","rubrioperculatus",2
"2021-05_PtCloates_BRUVS",27,"Nemipteridae","Pentapodus","nagasakiensis",1
"2021-05_PtCloates_BRUVS",27,"Pinguipedidae","Parapercis","nebulosa",3
"2021-05_PtCloates_BRUVS",3,"Carangidae","Carangoides","chrysophrys",3
"2021-05_PtCloates_BRUVS",3,"Carangidae","Decapterus","spp",15
"2021-05_PtCloates_BRUVS",3,"Cirrhitidae","Cyprinocirrhites","polyactis",1
"2021-05_PtCloates_BRUVS",3,"Lethrinidae","Gymnocranius","sp1",4
"2021-05_PtCloates_BRUVS",3,"Lethrinidae","Lethrinus","miniatus",6
"2021-05_PtCloates_BRUVS",3,"Lutjanidae","Lutjanus","sebae",1
"2021-05_PtCloates_BRUVS",3,"Lutjanidae","Pristipomoides","filamentosus",5
"2021-05_PtCloates_BRUVS",3,"Lutjanidae","Pristipomoides","sp1",3
"2021-05_PtCloates_BRUVS",3,"Serranidae","Epinephelus","rivulatus",1
"2021-05_PtCloates_BRUVS",3,"SUS","SUS","sus",200
"2021-05_PtCloates_BRUVS",3,"Tetraodontidae","Lagocephalus","lunaris",1
"2021-05_PtCloates_BRUVS",4,"Carangidae","Carangoides","chrysophrys",2
"2021-05_PtCloates_BRUVS",4,"Carangidae","Seriola","spp",1
"2021-05_PtCloates_BRUVS",4,"Carcharhinidae","Carcharhinus","macloti",1
"2021-05_PtCloates_BRUVS",4,"Labridae","Bodianus","solatus",1
"2021-05_PtCloates_BRUVS",4,"Labridae","Choerodon","zamboangae",1
"2021-05_PtCloates_BRUVS",4,"Lethrinidae","Gymnocranius","sp1",2
"2021-05_PtCloates_BRUVS",4,"Lethrinidae","Lethrinus","miniatus",4
"2021-05_PtCloates_BRUVS",4,"Lutjanidae","Lutjanus","sebae",2
"2021-05_PtCloates_BRUVS",4,"Lutjanidae","Pristipomoides","sp1",10
"2021-05_PtCloates_BRUVS",4,"Pinguipedidae","Parapercis","nebulosa",2
"2021-05_PtCloates_BRUVS",4,"Tetraodontidae","Lagocephalus","sceleratus",1
"2021-05_PtCloates_BRUVS",5,"Carcharhinidae","Carcharhinus","plumbeus",2
"2021-05_PtCloates_BRUVS",5,"Scombridae","Scomberomorus","spp",2
"2021-05_PtCloates_BRUVS",5,"Sparidae","Dentex","spp",104
"2021-05_PtCloates_BRUVS",5,"SUS","SUS","sus",1
"2021-05_PtCloates_BRUVS",5,"Triakidae","Mustelus","ravidus",1
"2021-05_PtCloates_BRUVS",6,"Carangidae","Carangoides","chrysophrys",1
"2021-05_PtCloates_BRUVS",6,"Carangidae","Carangoides","spp",2
"2021-05_PtCloates_BRUVS",6,"Carangidae","Gnathanodon","speciosus",1
"2021-05_PtCloates_BRUVS",6,"Carcharhinidae","Loxodon","macrorhinus",1
"2021-05_PtCloates_BRUVS",6,"Echeneidae","Echeneis","naucrates",1
"2021-05_PtCloates_BRUVS",6,"Lethrinidae","Gymnocranius","grandoculis",1
"2021-05_PtCloates_BRUVS",6,"Lethrinidae","Lethrinus","miniatus",1
"2021-05_PtCloates_BRUVS",6,"Lethrinidae","Lethrinus","rubrioperculatus",2
"2021-05_PtCloates_BRUVS",6,"Lutjanidae","Pristipomoides","sp1",5
"2021-05_PtCloates_BRUVS",6,"Nemipteridae","Pentapodus","nagasakiensis",1
"2021-05_PtCloates_BRUVS",6,"Nemipteridae","Unknown","spp",1
