"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","id"
"10","Balistidae","Xanthichthys","lineopunctatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Caesionidae","Pterocaesio","chrysozona",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Carangidae","Carangoides","chrysophrys",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Carangidae","Carangoides","fulvoguttatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Carangidae","Carangoides","gymnostethus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Carangidae","Gnathanodon","speciosus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Carcharhinidae","Carcharhinus","albimarginatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Chaetodontidae","Chaetodon","assarius",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Chaetodontidae","Heniochus","acuminatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
