"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"2022-05_PtCloates_stereo-BRUVS",53,-22.6839,113.5636,20220526,"8:29:10",NA,"No-take",NA,78.2,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",54,-22.7654,113.5392,20220520,"8:32:36",NA,"No-take",NA,83.1,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",55,-22.7564,113.529,20220520,"9:48:49",NA,"No-take",NA,89.1,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",56,-22.7534,113.5302,20220520,"10:09:08",NA,"No-take",NA,99.8,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",57,-22.6751,113.561,20220526,"8:11:51",NA,"No-take",NA,88.2,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",58,-22.7056,113.5502,20220522,"12:28:44",NA,"No-take",NA,90.9,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",59,-22.7437,113.5452,20220520,"12:37:35",NA,"No-take",NA,83.5,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",60,-22.7516,113.5386,20220520,"12:05:02",NA,"No-take",NA,91,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",61,-22.6779,113.5654,20220526,"8:23:34",NA,"No-take",NA,79.8,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",62,-22.7375,113.542,20220520,"14:11:26",NA,"No-take",NA,90.1,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",63,-22.6744,113.5666,20220526,"8:17:59",NA,"No-take",NA,81.1,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",64,-22.7343,113.5508,20220520,"14:30:16",NA,"No-take",NA,79.2,NA,"Yes","Yes"
