"campaignid","sample","family","genus","species","length","number","range"
"2021-05_PtCloates_BRUVS",12,"Lethrinidae","Gymnocranius","sp1",228.4799,1,1659.93626
"2021-05_PtCloates_BRUVS",12,"Lethrinidae","Gymnocranius","sp1",257.45382,1,2010.15561
"2021-05_PtCloates_BRUVS",12,"Lethrinidae","Gymnocranius","sp1",339.22873,1,1693.84215
"2021-05_PtCloates_BRUVS",13,"Lutjanidae","Pristipomoides","sp1",662.92263,1,3962.42832
"2021-05_PtCloates_BRUVS",13,"Lutjanidae","Pristipomoides","sp1",568.64243,1,1997.43035
"2021-05_PtCloates_BRUVS",13,"Echeneidae","Echeneis","naucrates",135.28891,1,2150.5221
"2021-05_PtCloates_BRUVS",13,"Serranidae","Epinephelus","rivulatus",344.21375,1,2457.0757
"2021-05_PtCloates_BRUVS",13,"Labridae","Bodianus","solatus",312.80875,1,4691.47439
"2021-05_PtCloates_BRUVS",13,"Lethrinidae","Lethrinus","miniatus",530.32791,1,2496.14846
"2021-05_PtCloates_BRUVS",13,"Lethrinidae","Lethrinus","miniatus",583.47102,1,2769.55781
"2021-05_PtCloates_BRUVS",13,"Lethrinidae","Lethrinus","miniatus",497.74367,1,1374.74971
"2021-05_PtCloates_BRUVS",14,"Rhinobatidae","Rhinobatos","sainsburyi",585.6477,1,2109.52844
"2021-05_PtCloates_BRUVS",14,"Triakidae","Hemitriakis","falcata",613.72316,1,1029.85643
"2021-05_PtCloates_BRUVS",14,"Sparidae","Chrysophrys","auratus",435.67136,1,2289.49141
"2021-05_PtCloates_BRUVS",14,"Sparidae","Chrysophrys","auratus",436.42536,1,1367.61962
"2021-05_PtCloates_BRUVS",14,"Sparidae","Chrysophrys","auratus",378.29088,1,1846.02263
"2021-05_PtCloates_BRUVS",14,"Lutjanidae","Pristipomoides","sp1",455.06907,1,4274.05329
"2021-05_PtCloates_BRUVS",14,"Lethrinidae","Gymnocranius","sp1",381.87165,1,1256.88402
"2021-05_PtCloates_BRUVS",14,"Carangidae","Seriola","dumerili",1140.61673,1,2807.14144
"2021-05_PtCloates_BRUVS",14,"Carangidae","Seriola","dumerili",1000.56357,1,3076.20465
"2021-05_PtCloates_BRUVS",14,"Carangidae","Seriola","dumerili",1234.94641,1,2896.77645
"2021-05_PtCloates_BRUVS",14,"Carangidae","Seriola","dumerili",1154.7423,1,4353.80829
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Lutjanus","sebae",548.11669,1,1460.4967
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Lutjanus","sebae",508.1817,1,1607.75306
"2021-05_PtCloates_BRUVS",15,"Echeneidae","Echeneis","naucrates",102.48211,1,2125.65386
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Aprion","virescens",793.81127,1,4486.728
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",323.31234,1,2011.49234
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",327.50214,1,1736.71359
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",362.77989,1,1346.4169
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",332.62073,1,1656.40587
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",511.02868,1,2124.50607
