"sample","scientific","maxn","family","genus","species","campaignid","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length","id"
23,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.734,113.542,20220520,14:15:28,"NA","NA","NA",91.4,"Henry Evans","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.23"
24,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7426,113.5507,20220520,12:42:58,"NA","NA","NA",79.3,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.24"
25,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2021-05_PtCloates_BRUVS",-22.7937,113.4939,20210518,12:11:00,"Point Cloates","Fished","outNP.13",135,"Charlotte Aston","Yes","Yes","2021-05_PtCloates_BRUVS.25"
25,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7053,113.5466,20220522,12:34:21,"NA","NA","NA",99.5,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.25"
26,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2021-05_PtCloates_BRUVS",-22.7537,113.4763,20210519,08:59:00,"Point Cloates","Fished","outNP.14",209,"Gabby Cummins","Yes","Yes","2021-05_PtCloates_BRUVS.26"
26,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7615,113.5484,20220520,09:08:31,"NA","NA","NA",77.2,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.26"
27,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2021-05_PtCloates_BRUVS",-22.7027,113.556,20210518,15:06:00,"Point Cloates","No-take","NA",77.8,"Gabby Cummins","Yes","Yes","2021-05_PtCloates_BRUVS.27"
27,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7254,113.5459,20220522,08:31:16,"NA","NA","NA",90.4,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.27"
28,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.6987,113.5625,20220522,13:05:17,"NA","NA","NA",76.3,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.28"
29,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.691,113.5564,20220522,14:54:59,"NA","NA","NA",87.9,"Henry Evans","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.29"
30,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7058,113.5588,20220522,10:47:54,"NA","NA","NA",78.5,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.30"
31,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7542,113.5424,20220520,10:27:48,"NA","NA","NA",82.3,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.31"
32,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7239,113.5552,20220522,08:39:35,"NA","NA","NA",78.3,"Henry Evans","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.32"
