"campaignid","family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"2022-05_PtCloates_stereo-BRUVS","Serranidae","Epinephelus","areolatus",0.316,0.593,0.157,24.54,30.45,38.53
"2021-05_PtCloates_BRUVS","Mullidae","Unknown","na",0.301,0.331,0.271,24.09,24.91,25.72
"2022-05_PtCloates_stereo-BRUVS","Mullidae","Unknown","na",0.301,0.331,0.271,24.09,24.91,25.72
"2021-05_PtCloates_BRUVS","Chaetodontidae","Heniochus","acuminatus",0.3,0.341,0.26,19.72,20.62,21.53
"2022-05_PtCloates_stereo-BRUVS","Chaetodontidae","Heniochus","acuminatus",0.3,0.341,0.26,19.72,20.62,21.53
"2022-05_PtCloates_stereo-BRUVS","Pomacanthidae","Chaetodontoplus","personifer",0.279,0.403,0.186,20.46,23.27,26.75
"2022-05_PtCloates_stereo-BRUVS","Mullidae","Parupeneus","heptacanthus",0.213,0.403,0.082,15.78,21.09,26.44
"2021-05_PtCloates_BRUVS","Echeneidae","Echeneis","naucrates",0.21,1.096,0.001,9.22,27.06,68.54
"2021-05_PtCloates_BRUVS","Pteroidae","Pterois","antennata",0.192,0.192,0.192,14.86,14.86,14.86
"2022-05_PtCloates_stereo-BRUVS","Pteroidae","Pterois","antennata",0.192,0.192,0.192,14.86,14.86,14.86
"2021-05_PtCloates_BRUVS","Mullidae","Parupeneus","heptacanthus",0.15,0.259,0.082,15.78,18.98,22.89
"2022-05_PtCloates_stereo-BRUVS","Muraenidae","Gymnothorax","pseudothyrsoideus",0.144,0.144,0.144,46.44,46.44,46.44
"2022-05_PtCloates_stereo-BRUVS","Echeneidae","Echeneis","naucrates",0.139,1.096,0.001,7.04,23.3,68.54
"2021-05_PtCloates_BRUVS","Pomacanthidae","Apolemichthys","trimaculatus",0.12,0.133,0.106,16.87,17.56,18.25
"2022-05_PtCloates_stereo-BRUVS","Pomacanthidae","Apolemichthys","trimaculatus",0.12,0.133,0.106,16.87,17.56,18.25
"2022-05_PtCloates_stereo-BRUVS","Nemipteridae","Nemipterus","virgatus",0.109,0.109,0.109,19.02,19.02,19.02
"2021-05_PtCloates_BRUVS","Mullidae","Mulloidichthys","flavolineatus",0.099,0.157,0.04,14.32,18.36,22.4
"2022-05_PtCloates_stereo-BRUVS","Mullidae","Mulloidichthys","flavolineatus",0.099,0.157,0.04,14.32,18.36,22.4
"2021-05_PtCloates_BRUVS","Mullidae","Parupeneus","chrysopleuron",0.093,0.093,0.093,16.99,16.99,16.99
"2022-05_PtCloates_stereo-BRUVS","Mullidae","Parupeneus","chrysopleuron",0.093,0.093,0.093,16.99,16.99,16.99
"2021-05_PtCloates_BRUVS","Sparidae","Dentex","spp",0.092,0.247,0.035,11.27,15.55,22.37
"2022-05_PtCloates_stereo-BRUVS","Sparidae","Dentex","spp",0.092,0.247,0.035,11.27,15.55,22.37
"2021-05_PtCloates_BRUVS","Nemipteridae","Parascolopsis","inermis",0.092,0.092,0.092,16.58,16.58,16.58
"2022-05_PtCloates_stereo-BRUVS","Nemipteridae","Parascolopsis","inermis",0.092,0.092,0.092,16.58,16.58,16.58
"2021-05_PtCloates_BRUVS","Carangidae","Kaiwarinus","equula",0.09,0.132,0.047,13.92,16.84,19.77
"2022-05_PtCloates_stereo-BRUVS","Carangidae","Kaiwarinus","equula",0.09,0.132,0.047,13.92,16.84,19.77
"2022-05_PtCloates_stereo-BRUVS","Nemipteridae","Nemipterus","spp",0.057,0.097,0.014,8.93,13.54,16.92
"2022-05_PtCloates_stereo-BRUVS","Malacanthidae","Malacanthus","brevirostris",0.044,0.088,0.002,7.19,19.29,26.07
"2022-05_PtCloates_stereo-BRUVS","Mullidae","Unknown","spp",0.035,0.374,0.001,3.48,6.68,26.76
"2021-05_PtCloates_BRUVS","Nemipteridae","Pentapodus","spp",0.032,0.032,0.032,11.81,11.81,11.81
"2022-05_PtCloates_stereo-BRUVS","Nemipteridae","Pentapodus","spp",0.032,0.032,0.032,11.81,11.81,11.81
