"imageptpair","filenameleft","frameleft","filenameright","frameright","sample","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date.time","location","status","depth","successful.count","successful.length"
"20","20210520_0809-1314_BOTTOM_0003_0001.mp4","11564","20210520_0809-1314_TOP_0003_0001.mp4","3814","22","1.07135",229.20905,"17.50015","8.95095","2850.18902","18.90330","86.88124","31.19062","493.89586","-780.19224","-2696.46888","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"21","20210520_0809-1314_BOTTOM_0003_0001.mp4","11564","20210520_0809-1314_TOP_0003_0001.mp4","3814","22","1.07135",205.13745,"12.77743","7.73075","2621.64954","22.93850","88.97196","41.81215","373.91249","-950.89504","-2414.33932","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"22","20210520_0809-1314_BOTTOM_0003_0001.mp4","11564","20210520_0809-1314_TOP_0003_0001.mp4","3814","22","1.07135",204.85583,"17.31843","17.63772","3136.48730","23.59091","83.09098","46.53036","219.66177","-1235.86413","-2874.35926","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"23","20210520_0809-1314_BOTTOM_0003_0001.mp4","11564","20210520_0809-1314_TOP_0003_0001.mp4","3814","22","1.07135",211.95096,"11.76793","8.61702","2544.09249","19.22104","83.22745","47.02971","132.13027","-827.06151","-2402.27340","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"24","20210520_0809-1314_BOTTOM_0003_0001.mp4","11564","20210520_0809-1314_TOP_0003_0001.mp4","3814","22","1.07135",194.67151,"12.40560","12.37186","2931.23803","16.91180","84.64429","59.23587","338.84082","-782.48043","-2804.47280","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"25","20210520_0809-1314_BOTTOM_0003_0001.mp4","11564","20210520_0809-1314_TOP_0003_0001.mp4","3814","22","1.07135",241.42838,"18.07867","10.45293","2925.73358","11.76271","85.80701","38.47450","378.23281","-461.16885","-2864.29401","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"26","20210520_0809-1314_BOTTOM_0003_0001.mp4","11564","20210520_0809-1314_TOP_0003_0001.mp4","3814","22","1.07135",243.45484,"12.37317","16.94469","2507.64175","28.17252","88.17302","32.25371","-149.58219","-1174.44063","-2210.56136","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"27","20210520_0809-1314_BOTTOM_0003_0001.mp4","11580","20210520_0809-1314_TOP_0003_0001.mp4","3830","22","1.07580",210.21773,"15.40658","0.15994","2775.88409","25.11654","80.65568","31.66307","225.70690","-1156.43378","-2513.41397","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"28","20210520_0809-1314_BOTTOM_0003_0001.mp4","11580","20210520_0809-1314_TOP_0003_0001.mp4","3830","22","1.07580",197.60986,"9.77710","6.89493","2307.33482","30.22424","86.56475","34.39260","128.27176","-1154.37411","-1993.68020","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"29","20210520_0809-1314_BOTTOM_0003_0001.mp4","11580","20210520_0809-1314_TOP_0003_0001.mp4","3830","22","1.07580",209.50706,"13.85961","5.59370","2602.07571","22.20198","84.70131","36.20691","-121.79383","-975.68103","-2409.15147","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"31","20210520_0809-1314_BOTTOM_0003_0001.mp4","12105","20210520_0809-1314_TOP_0003_0001.mp4","4355","22","1.22178",184.72725,"13.47462","8.60866","3970.33777","15.16560","77.65503","76.59093","516.33999","901.24722","-3832.06582","Clupeidae",NA,"spp",NA,5,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"32","20210520_0809-1314_BOTTOM_0003_0001.mp4","12128","20210520_0809-1314_TOP_0003_0001.mp4","4378","22","1.22817",209.18519,"19.32703","17.02974","4191.24134","28.47277","82.75083","87.64038","520.34381","1929.19509","-3684.28454","Clupeidae",NA,"spp",NA,5,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"33","20210520_0809-1314_BOTTOM_0003_0001.mp4","12362","20210520_0809-1314_TOP_0003_0001.mp4","4612","22","1.29324",208.03089,"5.10142","9.50774","3514.90717","14.90848","22.18212","71.60597","898.90084","-98.67390","-3396.58846","Clupeidae",NA,"spp",NA,5,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"34","20210520_0809-1314_BOTTOM_0003_0001.mp4","12362","20210520_0809-1314_TOP_0003_0001.mp4","4612","22","1.29324",222.22715,"13.76325","11.93102","3653.86030","16.06309","56.29107","63.98779","772.26461","-652.49009","-3511.20480","Clupeidae",NA,"spp",NA,5,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"35","20210520_0809-1314_BOTTOM_0003_0001.mp4","12433","20210520_0809-1314_TOP_0003_0001.mp4","4683","22","1.31298",203.368,"5.94636","17.85400","4121.98954","18.29225","26.20254","84.05432","1200.73228","-481.68059","-3913.69692","Clupeidae",NA,"spp",NA,5,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"36","20210520_0809-1314_BOTTOM_0003_0001.mp4","12433","20210520_0809-1314_TOP_0003_0001.mp4","4683","22","1.31298",203.10961,"18.90554","9.58451","4472.00428","25.30398","89.46322","78.09542","1090.79142","1569.62674","-4042.92818","Clupeidae",NA,"spp",NA,5,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"37","20210520_0809-1314_BOTTOM_0003_0001.mp4","12488","20210520_0809-1314_TOP_0003_0001.mp4","4738","22","1.32827",224.39792,"20.20214","8.62900","4256.28726","13.25272","86.84466","64.88945","951.29973","217.01542","-4142.93547","Clupeidae",NA,"spp",NA,5,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"38","20210520_0809-1314_BOTTOM_0003_0001.mp4","12488","20210520_0809-1314_TOP_0003_0001.mp4","4738","22","1.32827",234.64114,"19.40093","9.73407","4329.79138","12.66807","84.77219","67.03385","910.79800","-268.44443","-4224.39084","Clupeidae",NA,"spp",NA,5,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"39","20210520_0809-1314_BOTTOM_0003_0001.mp4","12488","20210520_0809-1314_TOP_0003_0001.mp4","4738","22","1.32827",214.10903,"12.32283","6.71264","4344.53801","12.82216","40.78800","72.19557","787.00900","556.98217","-4236.20091","Clupeidae",NA,"spp",NA,5,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"40","20210520_0809-1314_BOTTOM_0003_0001.mp4","12488","20210520_0809-1314_TOP_0003_0001.mp4","4738","22","1.32827",183.66213,"10.61260","11.03432","4489.47559","18.51251","19.72193","68.56223","1294.35521","597.14724","-4257.16464","Clupeidae",NA,"spp",NA,5,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"41","20210520_0809-1314_BOTTOM_0003_0001.mp4","14616","20210520_0809-1314_TOP_0003_0001.mp4","6866","22","1.91997",88.64691,"4.16202","1.18468","2119.86045","23.43744","73.33402","75.80075","-630.81754","-559.46733","-1944.96114","Pinguipedidae","Parapercis","nebulosa","37390005",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"43","20210520_0809-1314_BOTTOM_0006_0001.mp4","14717","20210520_0809-1314_TOP_0006_0001.mp4","6967","25","0.35563",169.25753,"7.78656","2.76343","3892.05686","11.96821","88.90735","82.42510","-687.99502","421.97194","-3807.45442","Carangidae","Pseudocaranx","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7262","113.4913","2021-05-20T09:21:43+08:00","Point Cloates","Fished","208","Yes","Yes"
"44","20210520_0809-1314_BOTTOM_0006_0001.mp4","16689","20210520_0809-1314_TOP_0006_0001.mp4","8939","25","0.90396",881.45858,"40.09357","12.87035","4646.00099","23.88536","76.55555","40.96577","-77.63242","1879.60030","-4248.10559","Carcharhinidae","Carcharhinus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7262","113.4913","2021-05-20T09:21:43+08:00","Point Cloates","Fished","208","Yes","Yes"
"47","20210520_0809-1314_BOTTOM_0007_0001.mp4","63709","20210520_0809-1314_TOP_0007_0001.mp4","55959","33","0.14431",82.68342,"3.02648","2.95513","1763.42521","11.69884","69.27821","71.21392","-281.86265","220.01442","-1726.79344","SUS","SUS","SUS","2",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7163","113.4963","2021-05-20T09:54:39+08:00","Point Cloates","Fished","207","Yes","Yes"
"48","20210520_0809-1314_BOTTOM_0007_0001.mp4","67342","20210520_0809-1314_TOP_0007_0001.mp4","59592","33","1.15449",145.42682,"3.51172","3.40614","2265.44375","15.10084","74.48153","77.35216","-549.75303","-214.70067","-2187.21526","Sparidae","Dentex","carpenteri","37353018",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7163","113.4963","2021-05-20T09:54:39+08:00","Point Cloates","Fished","207","Yes","Yes"
"49","20210520_0809-1314_BOTTOM_0007_0001.mp4","67706","20210520_0809-1314_TOP_0007_0001.mp4","59956","33","1.25570",152.43105,"4.60261","2.01774","2056.47767","23.13169","75.81817","72.43877","-517.30886","620.53161","-1891.14581","Sparidae","Dentex","carpenteri","37353018",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7163","113.4963","2021-05-20T09:54:39+08:00","Point Cloates","Fished","207","Yes","Yes"
"50","20210520_0809-1314_BOTTOM_0010_0001.mp4","11710","20210520_0809-1314_TOP_0010_0001.mp4","3960","20","2.63958",42.77561,"1.29437","1.96743","1413.69375","18.90642","48.94485","86.46744","-391.28185","-238.17332","-1337.42365","Pinguipedidae","Parapercis","nebulosa","37390005",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7187","113.5265","2021-05-20T10:35:39+08:00","Point Cloates","No-take","120","Yes","Yes"
"51","20210520_0809-1314_BOTTOM_0010_0001.mp4","60191","20210520_0809-1314_TOP_0010_0001.mp4","52441","12","1.23874",171.32223,"9.59383","17.80574","2647.93654","29.74585","69.85060","59.07392","-796.63658","1044.69925","-2299.03057","Holocentridae","Sargocentron","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7137","113.5364","2021-05-20T10:49:29+08:00","Point Cloates","No-take","107","Yes","Yes"
"52","20210520_0809-1314_BOTTOM_0010_0001.mp4","64329","20210520_0809-1314_TOP_0010_0001.mp4","56579","12","2.38933",60.66569,"4.60107","0.58989","2684.69950","6.44416","14.59120","38.14906","140.37759","266.61954","-2667.73678","SUS","SUS","SUS","2",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7137","113.5364","2021-05-20T10:49:29+08:00","Point Cloates","No-take","107","Yes","Yes"
