"campaignid","sample","family","genus","species"
"2022-05_PtCloates_stereo-BRUVS",47,"Scaridae","Scarus","sp3"
"2022-05_PtCloates_stereo-BRUVS",48,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",5,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",5,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",50,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",51,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",51,"Scaridae","Scarus","sp3"
"2022-05_PtCloates_stereo-BRUVS",51,"NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS",51,"Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS",52,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",52,"Scaridae","Scarus","sp3"
"2022-05_PtCloates_stereo-BRUVS",52,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",54,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",54,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",55,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",55,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",56,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",58,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",58,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",59,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",59,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",59,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",6,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",6,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",60,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",60,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",62,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",63,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",64,"Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS",64,"Haemulidae","Diagramma","pictum"
"2022-05_PtCloates_stereo-BRUVS",64,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",8,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",8,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",9,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",9,"Mullidae","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS",9,"Lethrinidae","Gymnocranius","sp1"
"2021-05_PtCloates_BRUVS",1,"SUS","SUS","sus"
"2021-05_PtCloates_BRUVS",11,"SUS","SUS","sus"
"2021-05_PtCloates_BRUVS",13,"SUS","SUS","sus"
"2021-05_PtCloates_BRUVS",13,"Carangidae","Seriola","sp1"
"2021-05_PtCloates_BRUVS",14,"Muraenidae","Gymnothorax","berndti"
"2021-05_PtCloates_BRUVS",21,"Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_BRUVS",25,"SUS","SUS","sus"
"2021-05_PtCloates_BRUVS",26,"Unknown","Unknown","unknown"
"2021-05_PtCloates_BRUVS",3,"SUS","SUS","sus"
"2021-05_PtCloates_BRUVS",5,"SUS","SUS","sus"
"2021-05_PtCloates_BRUVS",6,"SUS","SUS","sus"
"2021-05_PtCloates_BRUVS",8,"Unknown","Unknown","unknown"
"2022-05_PtCloates_stereo-BRUVS",11,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",19,"Unknown","Unknown","unknown"
"2022-05_PtCloates_stereo-BRUVS",23,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",24,"Unknown","Unknown","unknown"
"2022-05_PtCloates_stereo-BRUVS",26,"Unknown","Unknown","unknown"
"2022-05_PtCloates_stereo-BRUVS",27,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",28,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",28,"Unknown","Unknown","unknown"
"2022-05_PtCloates_stereo-BRUVS",29,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",29,"NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS",3,"Unknown","Unknown","unknown"
"2022-05_PtCloates_stereo-BRUVS",30,"Carangidae","Unknown","sp10"
"2022-05_PtCloates_stereo-BRUVS",31,"Scaridae","Scarus","sp3"
"2022-05_PtCloates_stereo-BRUVS",32,"NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS",36,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",36,"Mullidae","Unknown","na"
