"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"2021-05_PtCloates_BRUVS","12","L039 (3).MP4","13.51767","Pinguipedidae","Parapercis","nebulosa",1,"-22.7262","113.5214","20210518","12:48","Point Cloates","No-take","inNP.12","126","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","12","L039 (5).MP4","45.46653","Serranidae","Epinephelus","amblycephalus",1,"-22.7262","113.5214","20210518","12:48","Point Cloates","No-take","inNP.12","126","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","12","L039 (4).MP4","27.82891","Serranidae","Epinephelus","multinotatus",1,"-22.7262","113.5214","20210518","12:48","Point Cloates","No-take","inNP.12","126","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","12","L039 (3).MP4","8.72733","Sphyraenidae","Sphyraena","spp",1,"-22.7262","113.5214","20210518","12:48","Point Cloates","No-take","inNP.12","126","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","13","L037 (4).MP4","44.22807","Carangidae","Carangoides","chrysophrys",1,"-22.7963","113.5041","20210518","12:08","Point Cloates","Fished","outNP.1","116","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","13","L037 (5).MP4","53.91136","Carangidae","Seriola","sp1",1,"-22.7963","113.5041","20210518","12:08","Point Cloates","Fished","outNP.1","116","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","13","L037 (5).MP4","57.36981","Carcharhinidae",NA,"spp",1,"-22.7963","113.5041","20210518","12:08","Point Cloates","Fished","outNP.1","116","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","13","L037 (3).MP4","16.39916","Echeneidae","Echeneis","naucrates",1,"-22.7963","113.5041","20210518","12:08","Point Cloates","Fished","outNP.1","116","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","13","L037 (4).MP4","45.49045","Labridae","Bodianus","solatus",3,"-22.7963","113.5041","20210518","12:08","Point Cloates","Fished","outNP.1","116","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","13","L037 (5).MP4","54.93516","Lethrinidae","Lethrinus","miniatus",3,"-22.7963","113.5041","20210518","12:08","Point Cloates","Fished","outNP.1","116","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","13","L037 (3).MP4","16.24734","Lutjanidae","Pristipomoides","sp1",8,"-22.7963","113.5041","20210518","12:08","Point Cloates","Fished","outNP.1","116","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","13","L037 (3).MP4","11.82264","Nemipteridae","Pentapodus","nagasakiensis",2,"-22.7963","113.5041","20210518","12:08","Point Cloates","Fished","outNP.1","116","Charlotte Aston","Yes","Yes"
