campaignid,sample,longitude,latitude,
2021-03_West-Coast_BOSS,61,114.783,-34.1305,
2021-03_West-Coast_BOSS,62,114.919,-34.1281,
2021-03_West-Coast_BOSS,63,114.761,-34.056,
2021-03_West-Coast_BOSS,64,114.84,-34.0937,
2021-03_West-Coast_BOSS,65,114.884,-34.0813,
2021-03_West-Coast_BOSS,66,114.807,-34.0855,
2021-03_West-Coast_BOSS,67,114.873,-34.0899,
2021-03_West-Coast_BOSS,68,114.859,-34.05,
2021-03_West-Coast_BOSS,69,114.911,-34.1187,
2021-03_West-Coast_BOSS,70,114.922,-34.1321,
2021-03_West-Coast_BOSS,71,114.908,-34.0923,
2021-03_West-Coast_BOSS,72,114.747,-34.0685,
2021-03_West-Coast_BOSS,73,114.848,-34.0802,
2021-03_West-Coast_BOSS,74,114.769,-34.0513,
2021-03_West-Coast_BOSS,75,114.816,-34.0836,
2021-03_West-Coast_BOSS,76,114.916,-34.1217,
2021-03_West-Coast_BOSS,77,114.75,-34.0979,
2021-03_West-Coast_BOSS,78,114.841,-34.1182,
2021-03_West-Coast_BOSS,79,114.783,-34.0875,
2021-03_West-Coast_BOSS,80,114.832,-34.1034,
2021-03_West-Coast_BOSS,81,114.775,-34.0726,
2021-03_West-Coast_BOSS,82,114.759,-34.0964,
2021-03_West-Coast_BOSS,83,114.838,-34.1341,
2021-03_West-Coast_BOSS,84,114.78,-34.1034,
2021-03_West-Coast_BOSS,85,114.767,-34.0701,
2021-03_West-Coast_BOSS,86,114.865,-34.0774,
2021-03_West-Coast_BOSS,87,114.805,-34.1259,
2021-03_West-Coast_BOSS,88,114.827,-34.1351,
2021-03_West-Coast_BOSS,89,114.775,-34.0945,
2021-03_West-Coast_BOSS,90,114.731,-34.1003,
2021-03_West-Coast_BOSS,91,114.928,-34.0807,
2021-03_West-Coast_BOSS,92,114.918,-34.101,
2021-03_West-Coast_BOSS,93,114.845,-34.1196,
2021-03_West-Coast_BOSS,94,114.787,-34.0889,
2021-03_West-Coast_BOSS,95,114.91,-34.1229,
