"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs.npz6.18","2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",632.83368,2004.40577,-28.0962,113.4438,20210512,08:48:00,"NPZ6","No-take","npz6.19",42.7,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.18","2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",676.62326,2390.70945,-28.0962,113.4438,20210512,08:48:00,"NPZ6","No-take","npz6.19",42.7,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.18","2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",689.92638,2311.57097,-28.0962,113.4438,20210512,08:48:00,"NPZ6","No-take","npz6.19",42.7,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.18","2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",609.31968,1774.07899,-28.0962,113.4438,20210512,08:48:00,"NPZ6","No-take","npz6.19",42.7,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.18","2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",639.36275,2916.51496,-28.0962,113.4438,20210512,08:48:00,"NPZ6","No-take","npz6.19",42.7,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.18","2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",666.49832,2181.61159,-28.0962,113.4438,20210512,08:48:00,"NPZ6","No-take","npz6.19",42.7,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.2","2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Choerodon","rubescens",358.3793,2027.70873,-28.0612,113.4339,20210512,09:26:00,"NPZ6","No-take","npz6.2",43.6,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.2","2021-05_Abrolhos_stereo-BRUVs","npz6.2","Lethrinidae","Lethrinus","miniatus",292.49548,1899.1113,-28.0612,113.4339,20210512,09:26:00,"NPZ6","No-take","npz6.2",43.6,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.2","2021-05_Abrolhos_stereo-BRUVs","npz6.2","Lethrinidae","Lethrinus","miniatus",327.38365,1946.83829,-28.0612,113.4339,20210512,09:26:00,"NPZ6","No-take","npz6.2",43.6,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.2","2021-05_Abrolhos_stereo-BRUVs","npz6.2","Scombridae","Scomberomorus","spp",691.3613,3092.39736,-28.0612,113.4339,20210512,09:26:00,"NPZ6","No-take","npz6.2",43.6,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.20","2021-05_Abrolhos_stereo-BRUVs","npz6.20","Carangidae","Carangoides","spp",769.94355,2005.41885,-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.20","2021-05_Abrolhos_stereo-BRUVs","npz6.20","Haemulidae","Diagramma","pictum labiosum",650.97792,1280.79796,-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.20","2021-05_Abrolhos_stereo-BRUVs","npz6.20","Haemulidae","Diagramma","pictum labiosum",557.49136,1397.60402,-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.20","2021-05_Abrolhos_stereo-BRUVs","npz6.20","Haemulidae","Diagramma","pictum labiosum",535.18968,1492.43634,-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y"
