"campaignid","sample","family","genus","species","length","number","range"
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Lethrinidae","Lethrinus","miniatus",359.75067,1,2829.74094
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Lethrinidae","Lethrinus","miniatus",332.40739,1,1392.26478
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Lethrinidae","Lethrinus","miniatus",481.73013,1,1851.09401
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Lethrinidae","Lethrinus","miniatus",376.10889,1,1366.36873
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Lethrinidae","Lethrinus","miniatus",338.49525,1,1808.37861
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Lethrinidae","Lethrinus","miniatus",443.71013,1,1451.72069
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Lethrinidae","Lethrinus","miniatus",457.45759,1,1352.11543
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Lethrinidae","Lethrinus","miniatus",479.76219,1,2302.06792
"2021-05_Abrolhos_stereo-BRUVs","npz6.8","Sphyrnidae","Sphyrna","lewini",1415.52164,1,2816.51463
"2021-05_Abrolhos_stereo-BRUVs","npz6.8","Carcharhinidae","Carcharhinus","spp",588.73446,1,1153.09475
"2021-05_Abrolhos_stereo-BRUVs","npz6.9","Lethrinidae","Lethrinus","nebulosus",485.58074,1,1645.72328
"2021-05_Abrolhos_stereo-BRUVs","npz6.9","Sparidae","Chrysophrys","auratus",335.465,1,909.44304
"2021-05_Abrolhos_stereo-BRUVs","npz6.9","Sparidae","Chrysophrys","auratus",469.70334,1,984.06875
"2021-05_Abrolhos_stereo-BRUVs","npz6.9","Sparidae","Chrysophrys","auratus",388.27761,1,1216.80332
"2021-05_Abrolhos_stereo-BRUVs","npz6.9","Sparidae","Chrysophrys","auratus",382.6499,1,1287.42576
"2021-05_Abrolhos_stereo-BRUVs","npz6.9","Sparidae","Chrysophrys","auratus",391.08249,1,1871.76217
"2021-05_Abrolhos_stereo-BRUVs","npz6.9","Sparidae","Chrysophrys","auratus",405.80423,1,1275.49978
"2021-05_Abrolhos_stereo-BRUVs","npz6.9","Sparidae","Chrysophrys","auratus",415.17258,1,1508.9369
"2021-05_Abrolhos_stereo-BRUVs","npz6.9","Sparidae","Chrysophrys","auratus",415.44011,1,1384.43939
"2021-05_Abrolhos_stereo-BRUVs","npz6.9","Sparidae","Chrysophrys","auratus",412.15771,1,1184.32845
"2021-05_Abrolhos_stereo-BRUVs","npz6.9","Sparidae","Chrysophrys","auratus",353.66438,1,1236.30592
"2021-05_Abrolhos_stereo-BRUVs","npz6.9","Sparidae","Chrysophrys","auratus",327.60168,1,1070.98569
"2021-05_Abrolhos_stereo-BRUVs","npz6.9","Lethrinidae","Lethrinus","miniatus",395.80715,1,1102.13758
"2021-05_Abrolhos_stereo-BRUVs","npz6.BOSS41","Sparidae","Chrysophrys","auratus",430.05255,1,2106.97533
"2021-05_Abrolhos_stereo-BRUVs","npz6.BOSS41","Sparidae","Chrysophrys","auratus",348.42562,1,1620.0899
"2021-05_Abrolhos_stereo-BRUVs","npz6.BOSS41","Sparidae","Chrysophrys","auratus",490.83695,1,1350.08869
"2021-05_Abrolhos_stereo-BRUVs","npz6.BOSS41","Carangidae","Seriola","dumerili",650.77287,1,2245.57106
"2021-05_Abrolhos_stereo-BRUVs","npz6.BOSS41","Carangidae","Seriola","hippos",868.26922,1,3767.1113
"2021-05_Abrolhos_stereo-BRUVs","npz6.BOSS41","Carangidae","Seriola","hippos",969.63202,1,4568.86684
"2021-05_Abrolhos_stereo-BRUVs","npz6.C01","Triakidae","Mustelus","spp",764.30915,1,1057.91797
"2021-05_Abrolhos_stereo-BRUVs","npz6.C01","Rhinidae","Rhynchobatus","australiae",995.8047,1,1855.42306
"2021-05_Abrolhos_stereo-BRUVs","npz6.C01","Sparidae","Chrysophrys","auratus",318.43498,1,1335.57502
"2021-05_Abrolhos_stereo-BRUVs","npz6.C01","Tetraodontidae","Lagocephalus","sceleratus",383.44091,1,1917.00632
"2021-05_Abrolhos_stereo-BRUVs","npz6.C01","Tetraodontidae","Lagocephalus","sceleratus",454.365,1,1884.32688
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Sparidae","Chrysophrys","auratus",341.8734,1,1373.49517
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Serranidae","Epinephelus","areolatus",401.69513,1,2145.87458
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Lethrinidae","Lethrinus","miniatus",526.43035,1,1349.64995
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Lethrinidae","Lethrinus","miniatus",457.2279,1,1915.7041
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Lethrinidae","Lethrinus","miniatus",485.59175,1,1194.30321
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Lutjanidae","Pristipomoides","multidens",439.62269,1,1874.74692
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Lutjanidae","Pristipomoides","multidens",493.42967,1,2030.29266
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Lutjanidae","Pristipomoides","multidens",470.17065,1,1802.34112
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Lutjanidae","Pristipomoides","typus",447.982,1,2018.50689
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Labridae","Bodianus","solatus",296.2177,1,1616.66531
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Haemulidae","Diagramma","pictum labiosum",554.23513,1,2617.12333
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Sparidae","Chrysophrys","auratus",464.51772,1,1194.77264
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Carangidae","Decapterus","spp",306.80249,1,3564.43245
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Carangidae","Decapterus","spp",284.75635,1,3506.45973
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Carangidae","Decapterus","spp",300.22029,1,3104.93042
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Lethrinidae","Lethrinus","miniatus",411.68396,1,1124.16454
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Lethrinidae","Lethrinus","miniatus",486.8842,1,1518.46949
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Lethrinidae","Lethrinus","miniatus",420.15251,1,1695.59065
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Lethrinidae","Lethrinus","miniatus",553.77069,1,1136.97058
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Lethrinidae","Lethrinus","miniatus",489.81618,1,1468.21189
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Lethrinidae","Lethrinus","miniatus",505.57011,1,1109.24872
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Lethrinidae","Lethrinus","miniatus",443.30218,1,1614.08982
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Lethrinidae","Lethrinus","miniatus",453.06039,1,1979.25079
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Carangidae","Seriola","dumerili",423.7633,1,1705.68873
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Carangidae","Seriola","dumerili",423.03318,1,1762.09268
