"campaignid","sample","family","genus","species","maxn"
"2021-05_Abrolhos_BOSS","npz6.19","Chaetodontidae","Chaetodon","assarius",4
"2021-05_Abrolhos_BOSS","npz6.19","Labridae","Austrolabrus","maculatus",3
"2021-05_Abrolhos_BOSS","npz6.19","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_BOSS","npz6.19","Labridae","Coris","auricularis",29
"2021-05_Abrolhos_BOSS","npz6.19","Mullidae","Parupeneus","spilurus",1
"2021-05_Abrolhos_BOSS","npz6.19","Nemipteridae","Pentapodus","nagasakiensis",3
"2021-05_Abrolhos_BOSS","npz6.19","Pomacentridae","Chromis","spp",2
"2021-05_Abrolhos_BOSS","npz6.19","SUS","SUS","sus",3
"2021-05_Abrolhos_BOSS","npz6.2","Lutjanidae","Lutjanus","sp10",1
"2021-05_Abrolhos_BOSS","npz6.2","Pomacanthidae","Apolemichthys","trimaculatus",1
"2021-05_Abrolhos_BOSS","npz6.2","Scorpididae","Neatypus","obliquus",40
"2021-05_Abrolhos_BOSS","npz6.2","Scorpididae","Scorpis","georgiana",1
"2021-05_Abrolhos_BOSS","npz6.2","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.20","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_BOSS","npz6.20","Pomacentridae","Chromis","spp",80
"2021-05_Abrolhos_BOSS","npz6.20","Scaridae","Scarus","spp",1
"2021-05_Abrolhos_BOSS","npz6.20","Serranidae","Pseudanthias","spp",17
"2021-05_Abrolhos_BOSS","npz6.21","Chaetodontidae","Chaetodon","assarius",2
"2021-05_Abrolhos_BOSS","npz6.21","Labridae","Coris","auricularis",9
"2021-05_Abrolhos_BOSS","npz6.21","Pomacentridae","Chromis","spp",2
"2021-05_Abrolhos_BOSS","npz6.24","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_BOSS","npz6.24","Labridae","Unknown","sp3",1
"2021-05_Abrolhos_BOSS","npz6.24","Mullidae","Parupeneus","chrysopleuron",1
"2021-05_Abrolhos_BOSS","npz6.24","Nemipteridae","Pentapodus","nagasakiensis",2
"2021-05_Abrolhos_BOSS","npz6.24","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.25","Labridae","Unknown","sp3",1
"2021-05_Abrolhos_BOSS","npz6.25","Pinguipedidae","Parapercis","spp",1
"2021-05_Abrolhos_BOSS","npz6.25","Sparidae","Chrysophrys","auratus",1
"2021-05_Abrolhos_BOSS","npz6.25","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Anampses","geographicus",1
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Austrolabrus","maculatus",1
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Coris","auricularis",20
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Pseudojuloides","elongatus",1
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Suezichthys","cyanolaemus",2
"2021-05_Abrolhos_BOSS","npz6.26","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_BOSS","npz6.26","Mullidae","Parupeneus","spilurus",3
"2021-05_Abrolhos_BOSS","npz6.26","Pomacentridae","Chromis","spp",25
"2021-05_Abrolhos_BOSS","npz6.28","Labridae","Coris","auricularis",5
"2021-05_Abrolhos_BOSS","npz6.28","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_BOSS","npz6.29","Labridae","Coris","auricularis",5
"2021-05_Abrolhos_BOSS","npz6.29","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.3","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.30","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.31","Pinguipedidae","Parapercis","spp",2
"2021-05_Abrolhos_BOSS","npz6.31","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Anampses","geographicus",3
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Austrolabrus","maculatus",1
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Coris","auricularis",17
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Coris","caudimacula",1
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Labroides","dimidiatus",1
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Notolabrus","parilus",1
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_BOSS","npz6.33","Lethrinidae","Lethrinus","miniatus",2
"2021-05_Abrolhos_BOSS","npz6.33","Mullidae","Parupeneus","spilurus",2
