"sample","scientific","maxn","family","genus","species","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id"
"npz6.C02","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-28.118,113.385,20210512,14:52:00,"NPZ6","Fished","NA",125,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.C02"
"npz9.1","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.0962,113.0863,20210515,13:43:00,"NPZ9","No-take","npz9.1",116,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.1"
"npz9.10","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1638,113.1565,20210515,10:36:00,"NPZ9","No-take","npz9.10",93.6,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.10"
"npz9.11","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1238,113.1889,20210515,08:46:00,"NPZ9","No-take","npz9.11",85.8,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.11"
"npz9.12","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1462,113.2039,20210515,08:19:00,"NPZ9","No-take","npz9.12",92.2,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.12"
"npz9.13","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1113,113.1038,20210515,13:27:00,"NPZ9","No-take","npz9.13",109,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.13"
"npz9.14","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1438,113.1364,20210515,10:56:00,"NPZ9","No-take","npz9.14",101,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.14"
"npz9.16","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1187,113.109,20210515,13:16:00,"NPZ9","No-take","npz9.16",108,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.16"
"npz9.17","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1012,113.0913,20210515,13:37:00,"NPZ9","No-take","npz9.17",114,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.17"
"npz9.18","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1236,113.0664,20210515,14:08:00,"NPZ9","No-take","npz9.18",132,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.18"
"npz9.19","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1539,113.1764,20210515,08:58:00,"NPZ9","No-take","npz9.19",87.1,"Molly","Y","N","2021-05_Abrolhos_stereo-BRUVs.npz9.19"
"npz9.2","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1411,113.1465,20210515,10:52:00,"NPZ9","No-take","npz9.2",92.1,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.2"
"npz9.21","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1362,113.1014,20210515,11:26:00,"NPZ9","No-take","npz9.21",122,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.21"
"npz9.22","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1537,113.1413,20210515,10:34:00,"NPZ9","No-take","npz9.22",102,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.22"
"npz9.24","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1311,113.1067,20210515,11:14:00,"NPZ9","No-take","npz9.24",117,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.24"
"npz9.25","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1462,113.074,20210515,14:17:00,"NPZ9","No-take","npz9.25",133,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.25"
