"id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Pempherididae","Pempheris","klunzingeri",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Pinguipedidae","Parapercis","spp",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Platycephalidae","Platycephalus","spp",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Pomacanthidae","Apolemichthys","trimaculatus",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Pomacanthidae","Chaetodontoplus","personifer",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Pomacanthidae","Pomacanthus","semicirculatus",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Pomacentridae","Chromis","spp",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Scaridae","Scarus","chameleon",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Scaridae","Scarus","ghobban",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Scaridae","Scarus","sp3",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Scaridae","Scarus","spp",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Scorpididae","Neatypus","obliquus",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Scorpididae","Scorpis","georgiana",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Serranidae","Caprodon","schlegelii",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Serranidae","Epinephelus","rivulatus",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Serranidae","Plectropomus","spp",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Serranidae","Pseudanthias","spp",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Sparidae","Chrysophrys","auratus",312.39948,1,5018.55426,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","SUS","SUS","sus",NA,1,2931.81125,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Tetraodontidae","Unknown","spp",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1",NA,NA,NA,NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Apogonidae","Unknown","sp10",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Blenniidae","Unknown","spp",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Carangidae","Decapterus","spp",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Carangidae","Seriola","dumerili",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Carangidae","Seriola","hippos",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Carangidae","Unknown","sp10",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Chaetodontidae","Chaetodon","assarius",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Cirrhitidae","Paracirrhites","forsteri",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Echeneidae","Unknown","spp",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Ginglymostomatidae","Nebrius","ferrugineus",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Glaucosomatidae","Glaucosoma","hebraicum",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Labridae","Anampses","geographicus",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Labridae","Austrolabrus","maculatus",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Labridae","Bodianus","bilunulatus",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
