OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
20210308_0735-1537	13	71	20210308_0735-1537_TOP_0061.mp4	7075	172.59242	20210308_0735-1537_TOP_0062.mp4	7669	175.59236	1
20210308_0735-1537	14	14	20210308_0735-1537_TOP_0065.mp4	5179	183.47830	20210308_0735-1537_TOP_0066.mp4	5657	186.47824	1
20210308_0735-1537	15	150	20210308_0735-1537_TOP_0068.mp4	6376	192.37858	20210308_0735-1537_TOP_0069.mp4	6999	195.37852	1
20210308_0735-1537	16	92	20210308_0735-1537_TOP_0071.mp4	3453	200.11575	20210308_0735-1537_TOP_0072.mp4	3937	203.11569	1
20210308_0735-1537	17	28	20210308_0735-1537_TOP_0074.mp4	4779	209.04967	20210308_0735-1537_TOP_0075.mp4	5277	212.04962	1
20210308_0735-1537	18	124	20210308_0735-1537_TOP_0077.mp4	8890	218.77828	20210308_0735-1537_TOP_0078.mp4	9594	221.77822	1
20210308_0735-1537	19	53	20210308_0735-1537_TOP_0081.mp4	9500	230.33232	20210308_0735-1537_TOP_0082.mp4	10125	233.33227	1
20210308_0735-1537	20	6	20210308_0735-1537_TOP_0086.mp4	3795	243.00582	20210308_0735-1537_TOP_0087.mp4	4217	246.00576	1
20210308_0735-1537	21	149	20210308_0735-1537_TOP_0090.mp4	6104	255.04896	20210308_0735-1537_TOP_0091.mp4	6708	258.04890	1
20210308_0735-1537	22	32	20210308_0735-1537_TOP_0094.mp4	4960	266.08749	20210308_0735-1537_TOP_0095.mp4	5513	269.08743	1
20210308_0735-1537	23	116	20210308_0735-1537_TOP_0097.mp4	5148	274.68858	20210308_0735-1537_TOP_0098.mp4	5709	277.68852	1
20210308_0735-1537	24	69	20210308_0735-1537_TOP_0101.mp4	2395	285.31142	20210308_0735-1537_TOP_0102.mp4	2998	288.31136	1
20210308_0735-1537	25	138	20210308_0735-1537_TOP_0104.mp4	925	293.39811	20210308_0735-1537_TOP_0105.mp4	1446	296.39805	1
20210308_0735-1537	26	76	20210308_0735-1537_TOP_0107.mp4	6423	303.44870	20210308_0735-1537_TOP_0108.mp4	7043	306.44864	1
20210308_0735-1537	27	144	20210308_0735-1537_TOP_0110.mp4	8396	312.53778	20210308_0735-1537_TOP_0111.mp4	9077	315.53772	1
20210308_0735-1537	28	5	20210308_0735-1537_TOP_0114.mp4	7207	323.55768	20210308_0735-1537_TOP_0115.mp4	7799	326.55762	1
20210308_0735-1537	29	107	20210308_0735-1537_TOP_0119.mp4	1935	336.25953	20210308_0735-1537_TOP_0120.mp4	2390	339.25948	1
20210308_0735-1537	30	37	20210308_0735-1537_TOP_0123.mp4	7498	349.20024	20210308_0735-1537_TOP_0124.mp4	8195	352.20018	1
20210308_0735-1537	31	102	20210308_0735-1537_TOP_0126.mp4	8649	358.05353	20210308_0735-1537_TOP_0127.mp4	9369	361.05347	1
20210308_0735-1537	32	57	20210308_0735-1537_TOP_0130.mp4	50	366.87623	20210308_0735-1537_TOP_0131.mp4	613	369.87617	1
20210308_0735-1537	33	24	20210308_0735-1537_TOP_0133.mp4	123	375.39558	20210308_0735-1537_TOP_0134.mp4	685	378.39552	1
20210308_0735-1537	34	70	20210308_0735-1537_TOP_0136.mp4	756	384.09510	20210308_0735-1537_TOP_0137.mp4	1335	387.09504	1
20210308_0735-1537	35	62	20210308_0735-1537_TOP_0139.mp4	3340	393.28873	20210308_0735-1537_TOP_0140.mp4	3921	396.28867	1
20210308_0735-1537	36	104	20210308_0735-1537_TOP_0142.mp4	4604	402.18178	20210308_0735-1537_TOP_0143.mp4	5164	405.18172	1
20210308_0735-1537	37	30	20210308_0735-1537_TOP_0145.mp4	6525	411.25640	20210308_0735-1537_TOP_0146.mp4	7115	414.25634	1
20210308_0735-1537	38	95	20210308_0735-1537_TOP_0149.mp4	168	420.78731	20210308_0735-1537_TOP_0150.mp4	720	423.78725	1
20210308_0735-1537	39	106	20210308_0735-1537_TOP_0155.mp4	4870	438.94239	20210308_0735-1537_TOP_0156.mp4	5398	441.94233	1
