OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0045.mp4	10035	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0046.mp4	10381	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0047.mp4	10357	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0048.mp4	10159	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0049.mp4	10064	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0050.mp4	10350	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0051.mp4	10389	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0052.mp4	10080	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0053.mp4	10408	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0054.mp4	10430	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0055.mp4	10166	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0056.mp4	9983	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0057.mp4	10145	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0058.mp4	10232	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0059.mp4	10130	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0060.mp4	10009	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0061.mp4	10195	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0062.mp4	10483	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0063.mp4	10349	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0064.mp4	10019	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0065.mp4	10311	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0066.mp4	10357	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0067.mp4	10144	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0068.mp4	10166	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0069.mp4	10402	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0070.mp4	10181	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0071.mp4	10305	59.94006
