"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","unique_id"
"2022-05_PtCloates_Naked-BOSS","201","20220519_BOTTOM_2_0003_0001.mp4","2.77944","Balistidae","Xanthichthys","lineopunctatus",1,"-22.7488","113.5378","2022-05-19T11:50:14+0800","Point Cloates","No-take","94.9","Yes","Yes","2022-05_PtCloates_Naked-BOSS_201"
"2022-05_PtCloates_Naked-BOSS","201","20220519_BOTTOM_2_0003_0001.mp4","2.47914","Chaetodontidae","Chaetodon","assarius",1,"-22.7488","113.5378","2022-05-19T11:50:14+0800","Point Cloates","No-take","94.9","Yes","Yes","2022-05_PtCloates_Naked-BOSS_201"
"2022-05_PtCloates_Naked-BOSS","201","20220519_BOTTOM_2_0003_0001.mp4","1.88327","Chaetodontidae","Heniochus","diphreutes",2,"-22.7488","113.5378","2022-05-19T11:50:14+0800","Point Cloates","No-take","94.9","Yes","Yes","2022-05_PtCloates_Naked-BOSS_201"
"2022-05_PtCloates_Naked-BOSS","201","20220519_BOTTOM_2_0003_0001.mp4","0.71850","Cirrhitidae","Cyprinocirrhites","polyactis",1,"-22.7488","113.5378","2022-05-19T11:50:14+0800","Point Cloates","No-take","94.9","Yes","Yes","2022-05_PtCloates_Naked-BOSS_201"
"2022-05_PtCloates_Naked-BOSS","201","20220519_BOTTOM_2_0003_0001.mp4","0.72322","Labridae","Labroides","dimidiatus",1,"-22.7488","113.5378","2022-05-19T11:50:14+0800","Point Cloates","No-take","94.9","Yes","Yes","2022-05_PtCloates_Naked-BOSS_201"
"2022-05_PtCloates_Naked-BOSS","201","20220519_BOTTOM_2_0003_0001.mp4","1.91386","Serranidae","Epinephelus","areolatus",1,"-22.7488","113.5378","2022-05-19T11:50:14+0800","Point Cloates","No-take","94.9","Yes","Yes","2022-05_PtCloates_Naked-BOSS_201"
"2022-05_PtCloates_Naked-BOSS","201","20220519_BOTTOM_2_0003_0001.mp4","2.47748","Serranidae","Pseudanthias","spp",7,"-22.7488","113.5378","2022-05-19T11:50:14+0800","Point Cloates","No-take","94.9","Yes","Yes","2022-05_PtCloates_Naked-BOSS_201"
"2022-05_PtCloates_Naked-BOSS","201","20220519_BOTTOM_2_0003_0001.mp4","0.52219","SUS","SUS","SUS",1,"-22.7488","113.5378","2022-05-19T11:50:14+0800","Point Cloates","No-take","94.9","Yes","Yes","2022-05_PtCloates_Naked-BOSS_201"
"2022-05_PtCloates_Naked-BOSS","201","20220519_BOTTOM_2_0003_0001.mp4","0.13903","Unknown","Unknown","Unknown",1,"-22.7488","113.5378","2022-05-19T11:50:14+0800","Point Cloates","No-take","94.9","Yes","Yes","2022-05_PtCloates_Naked-BOSS_201"
"2022-05_PtCloates_Naked-BOSS","202","20220527_BOTTOM_1_0003_0001.mp4","0.96291","Carangidae","Carangoides","coeruleopinnatus",1,"-22.6851","113.5571","2022-05-27T09:03:52+0800","Point Cloates","No-take","91.4","Yes","Yes","2022-05_PtCloates_Naked-BOSS_202"
"2022-05_PtCloates_Naked-BOSS","203","20220519_BOTTOM_1_0008_0001.mp4","1.79930","Carangidae","Decapterus","spp",1,"-22.7548","113.55","2022-05-19T09:44:17+0800","Point Cloates","No-take","75.7","Yes","Yes","2022-05_PtCloates_Naked-BOSS_203"
